skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
sd102	2	2	2	2		12	skillname102	skillsd102	skillld102	skillan102	StrSkill3	5																1					43	StrSkill5		edns	edxs	38	StrSkill5	strEskilllighttoattack	(edns*par5)/256	(edxs*par5)/256	19	StrSkill18		ln12																																40	Sksyn	skillname102	2		63	skillname100	Firedplev	par8		63	skillname125	Firedplev	par7																						0
sd103	2	2	3	2		14	skillname103	skillsd103	skillld103	skillan103	StrSkill3																	7	StrSkill55		ln34		19	StrSkill18		ln12																																																																													0
sd104	3	2	2	3		16	skillname104	skillsd104	skillld104	skillan104	StrSkill3																	2	StrSkill31	StrSkill23	ln34		19	StrSkill18		ln12																																																																													0
sd105	3	2	3	3		18	skillname105	skillsd105	skillld105	skillan105	StrSkill3																	2	StrSkill52	StrSkill23	dm34		19	StrSkill18		ln12																																																																													0
sd106	1	3	1	1		20	skillname106	skillsd106	skillld106	skillan106	StrSkill3	7	((lvl<5)?0:((lvl-4)*par4))+skill('sk96'.blvl)*par8											2				1					7	StrSkill11		min((par5+lvl)-1,par6)		2	StrSkill4	StrSkill23	((lvl<5)?0:((lvl-4)*par4))+skill('sk96'.blvl)*par8		2	StrSkill30	StrSkill23	toht																																40	Sksyn	skillname106	2		63	skillname96	Damplev	par8																											0
sd107	1	3	3	1		22	skillname107	skillsd107	skillld107	skillan107	StrSkill3	7	ln34+(skill('sk115'.blvl)+skill('sk98'.blvl))*par8											2				1					2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	ln34+(skill('sk115'.blvl)+skill('sk98'.blvl))*par8																																					40	Sksyn	skillname107	2		63	skillname115	Damplev	par8		63	skillname98	Damplev	par8																						0
sd108	2	3	1	2		24	skillname108	skillsd108	skillld108	skillan108	StrSkill3																	2	StrSkill22	StrSkill23	ln34		19	StrSkill18		ln12																																																																													0
sd109	3	3	1	3		38	skillname109	skillsd109	skillld109	skillan109	StrSkill3																	4	StrSkill50		skill('sk99'.edmn)		3	StrSkill74	StrSkill23	dm34		19	StrSkill18		ln12																	67	skillname99	Healplev2	skill('sk99'.edmn)																	40	Sksyn	skillname109	2		18	skillname99																													0
sd110	3	3	3	3		28	skillname110	skillsd110	skillld110	skillan110	StrSkill3																	2	StrSkill53	StrSkill23	dm34		19	StrSkill18		ln12																																																																													0
sd111	1	4	1	1		40	skillname111	skillsd111	skillld111	skillan111	StrSkill3	11												1				1					2	StrSkill22	StrSkill23	toht		2	StrSkill7	StrSkill23	(ln12+skill('sk110'.blvl)*par8)+skill('sk125'.blvl)*par7		2	StrSkill6	StrSkill23	(ln12+skill('sk105'.blvl)*par8)+skill('sk125'.blvl)*par7		2	StrSkill5	StrSkill23	(ln12+skill('sk100'.blvl)*par8)+skill('sk125'.blvl)*par7		11					2	StrSkill30	StrSkill23	ln34																	40	Sksyn	skillname111	2		63	skillname100	Firedplev	par8		63	skillname105	Colddplev	par8		63	skillname110	Ltngdplev	par8		63	skillname125	ElemDampLev	par7												0
sd112	1	4	2	1		32	skillname112	skillsd112	skillld112	skillan112	StrSkill3	12																1					19	StrSkill18		min(90,par3+stat('is459'.accr)/10)																																										40	Sksyn	skillname112	2		63	skillname108	Magdplev	par8		63	skillname113	Magdplev	par8		63	skillname115	Magdplev	par8																	0
sd113	2	4	1	2		34	skillname113	skillsd113	skillld113	skillan113	StrSkill3																	1					2	StrSkill4	StrSkill23	ln34		3	StrSkill76	StrSkill23	par5		19	StrSkill18		ln12																																																																			0
sd114	2	4	2	2		36	skillname114	skillsd114	skillld114	skillan114	StrSkill3	5																3	StrSkill77	StrSkill23	dm34		10					38	StrSkill6	strEskilllighttoattack	(edns*par5)/256	(edxs*par5)/256	19	StrSkill18		ln12																																40	Sksyn	skillname114	2		63	skillname105	Colddplev	par8		63	skillname125	Colddplev	par7																						0
sd115	3	4	2	3		26	skillname115	skillsd115	skillld115	skillan115	StrSkill3																	2	StrSkill69	StrSkill23	ln34		2	StrSkill71	StrSkill23	ln34		2	StrSkill70	StrSkill23	dm56		19	StrSkill18		ln12																																																																			0
sd116	1	5	1	1		30	skillname116	skillsd116	skillld116	skillan116	StrSkill3	5												1				1					19	StrSkill18		min(90,par3+stat('is461'.accr)/10)		19	StrSkill116																																							40	Sksyn	skillname116	2		63	skillname96	Firedplev	par8		63	skillname106	Firedplev	par8		63	skillname111	Firedplev	par8																	0
sd117	1	5	3	1		42	skillname117	skillsd117	skillld117	skillan117	StrSkill3																	1					2	StrSkill110	StrSkill23	dm56		2	StrSkill31	StrSkill23	ln34+skill('sk104'.blvl)*par8		12	StrSkill20		ln12		49	ItemStats1o																													40	Sksyn	skillname117	2		63	skillname104	Defplev	par8																											0
sd118	2	5	2	2		44	skillname118	skillsd118	skillxld118	skillan118	StrSkill3	5																10					38	StrSkill7	strEskilllighttoattack	1	(edxs*par5)/256	19	StrSkill18		ln12																																					40	Sksyn	skillname118	2		63	skillname110	Ltngdplev	par8		63	skillname125	Ltngdplev	par7																						0
sd119	2	5	3	2		46	skillname119	skillsd119	skillld119	skillan119	StrSkill3	5																10					67	ModStr4f	StrSkill23	ln34		19	StrSkill18		ln12																																					40	Sksyn	skillname119	2		63	skillname109	Magdplev	par8																											0
sd120	3	5	1	3		48	skillname120	skillsd120	skillld120	skillan120	StrSkill3																	4	StrSkill50		skill('sk99'.edmn)		2	StrSkill88	StrSkill23	ln34		19	StrSkill18		ln12																	67	skillname99	Healplev2	skill('sk99'.edmn)																	40	Sksyn	skillname120	2		18	skillname99																													0
sd121	1	6	2	1		50	skillname121	skillsd121	skillld121	skillan121	StrSkill3	5													ml234			1					19	StrSkill18		min(90,par3+stat('is460'.accr)/10)		19	StrSkill91																																							40	Sksyn	skillname121	2		63	skillname110	Ltngdplev	par8		63	skillname125	Ltngdplev	par8		63	skillname118	Ltngdplev	par8																	0
sd122	2	6	1	2		52	skillname122	skillxsd122	skillxld122	skillan122	StrSkill3																	1					2	StrSkill22	StrSkill23	toht		2	StrSkill106	StrSkill23	dm34		2	FanYDam	StrSkill23	ln56		2	PartDam	StrSkill23	ln56/2		19	StrSkill18		ln12																																																									0
sd123	2	6	3	2		56	skillname123	skillxsd123	skillld123	skillan123	StrSkill3																	3	StrSkill90	StrSkill23	-min(ln34,80)		2	StrSkill21	StrSkill23	-dm56		19	StrSkill18		ln12																																																																								0
sd124	3	6	2	3		54	skillname124	skillsd124	skillxld124	skillan124	StrSkill3																	3	StrSkill107	StrSkill108	ln56		3	StrSkill109	StrSkill23	dm34		19	StrSkill18		ln12																																																																								0
sd125	3	6	3	3		58	skillname125	skillsd125	skillld125	skillan125	StrSkill3																	2	StrSkill54	StrSkill23	dm34		19	StrSkill18		ln12																																																																													0
sd126	1	1	2	1			skillname126	skillsd126	skillld126	skillan126	StrSkill3	7	clc1	ln34										1				1					4	StrSkill4		ln34		2	StrSkill4	StrSkill23	clc1		2	StrSkill22	StrSkill23	toht																																40	Sksyn	skillname126	2		63	skillname139	Damplev	par8		63	skillname144	AttRateplev	par7																						0
sd127	2	1	1	2		2	skillname127	skillsd127	skillld127	skillan127	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
sd128	2	1	2	2		4	skillname128	skillsd128	skillld128	skillan128	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
sd129	2	1	3	2		6	skillname129	skillsd129	skillld129	skillan129	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
sd130	3	1	1	3		8	skillname130	skillsd130	skillld130	skillan130	StrSkill3																	1					12	StrSkill59		ln56		19	StrSkill58		ln34																																																																								0
sd131	3	1	3	3		10	skillname131	skillsd131	skillld131	skillan131	StrSkill3																	1					7	StrSkill24		dm12																																																																													0
sd132	1	2	1	1		12	skillname132	skillsd132	skillld132	skillan132	StrSkill3																	1					19	StrSkill18		dm12																																																																													0
sd133	1	2	3	1		14	skillname133	skillsd133	skillld133	skillan133	StrSkill3	19	clc1											2				5	StrSkill3		usmc/128		2	StrSkill22	StrSkill23	toht																						2	StrSkill4	StrSkill23	clc1																	40	Sksyn	skillname133	2		63	skillname126	Damplev	par8																											0
sd134	2	2	1	2		16	skillname134	skillsd134	skillld134	skillan134	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
sd135	2	2	2	2		18	skillname135	skillsd135	skillld135	skillan135	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
sd136	2	2	3	2		20	skillname136	skillsd136	skillld136	skillan136	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
sd137	3	2	1	3		22	skillname137	skillsd137	skillld137	skillan137	StrSkill3																	1					3	StrSkill57	StrSkill23	ln12		3	StrSkill38	StrSkill23	ln34																																																																								0
sd138	3	2	2	3		24	skillname138	skillsd138	skillld138	skillan138	StrSkill3																	1					12	StrSkill20		len		2	StrSkill21	StrSkill23	ln12																																					40	Sksyn	skillname138	2		67	skillname149	Secplev2	par8/25		67	skillname155	Secplev2	par8/25																						0
sd139	1	3	2	1		26	skillname139	skillsd139	skillld139	skillan139	StrSkill3	7	clc1											1				1					12	StrSkill20		min(250,edln)		3	StrSkill22	StrSkill23	toht																	2	StrSkill4	StrSkill23	clc1																	40	Sksyn	skillname139	2		63	skillname126	Damplev	par8		63	skillname144	AttRateplev	par7		63	skillname154	Durateplev	par6																	0
sd140	1	3	3	1		28	skillname140	skillsd140	skillld140	skillan140	StrSkill3	13												2				5	StrSkill3		usmc/128		8																									2	StrSkill4	StrSkill23	clc1																	40	Sksyn	skillname140	2		63	skillname133	Damplev	par8																											0
sd141	2	3	1	2		30	skillname141	skillsd141	skillld141	skillan141	StrSkill3																	2	StrSkill71	StrSkill23	ln12																																																																																		0
sd142	3	3	3	3		32	skillname142	skillsd142	skillld142	skillan142	StrSkill3																	1					7	StrSkill24		dm12																																																																													0
sd143	1	4	1	1		34	skillname143	skillsd143	skillld143	skillan143	StrSkill3	7	clc1											2				1					2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1																																					40	Sksyn	skillname143	2		63	skillname132	Damplev	par8																											0
sd144	1	4	2	1		36	skillname144	skillsd144	skillld144	skillan144	StrSkill3	7	clc1											1				1					2	StrSkill4	StrSkill23	clc1		2	StrSkill22	StrSkill23	toht		2	StrSkill31	StrSkill23	ln34												2	StrSkill39	StrSkill23	clc4																	40	Sksyn	skillname144	2		63	skillname126	Damplev	par8		63	skillname149	Damplev	par7		63	skillname152	Magdplev	1																	0
sd145	2	4	3	2		38	skillname145	skillsd145	skillld145	skillan145	StrSkill3																	6	StrSkill23		ln12																																																																																		0
sd146	3	4	1	3		40	skillname146	skillsd146	skillld146	skillan146	StrSkill3	5																1					19	StrSkill18		min(90,par3+stat('is466'.accr)/10)		12	StrSkill20		ln12																																					40	Sksyn	skillname146	2		63	skillname130	Damplev	par8		63	skillname137	Damplev	par8		63	skillname154	Damplev	par8																	0
sd147	1	5	3	1		42	skillname147	skillsd147	skillld147	skillan147	StrSkill3	19	clc1											2				5	StrSkill3		usmc/128		52	StrSkill89	StrSkill23	(15*(par4-par3))/100+par3	dm34	52	StrSkill106	StrSkill23	(15*(par6-par5))/100+par5	dm56	2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1							12	StrSkill20		par7		2	StrSkill39	StrSkill23	clc4												40	Sksyn	skillname147	2		63	skillname133	Damplev	par8		63	skillname137	Damplev	par8		63	skillname152	Magdplev	1																	0
sd148	2	5	1	2		44	skillname148	skillsd148	skillld148	skillan148	StrSkill3																	2	StrSkill89	StrSkill23	dm12																																																																																		0
sd149	3	5	2	3		46	skillname149	skillsd149	skillld149	skillan149	StrSkill3																	1					3	StrSkill101	StrSkill23	ln34		3	StrSkill100	StrSkill23	ln34		3	StrSkill102	StrSkill23	ln34		12	StrSkill20		len																											40	Sksyn	skillname149	2		67	skillname138	Secplev2	par8/25		67	skillname155	Secplev2	par8/25																						0
sd150	3	5	3	3		48	skillname150	skillsd150	skillld150	skillan150	StrSkill3	5																1					19	StrSkill18		min(90,par3+stat('is465'.accr)/10)		12	StrSkill20		ln12																																					40	Sksyn	skillname150	2		63	skillname131	Poisdplev	par8		63	skillname142	Poisdplev	par8		63	skillname145	Poisdplev	par8																	0
sd151	1	6	1	1		50	skillname151	skillsd151	skillld151	skillan151	StrSkill3	1	clc1											1				1					2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1																																																																								0
sd152	1	6	2	1		52	skillname152	skillsd152	skillld152	skillan152	StrSkill3	5												1				1					19	StrSkill18		min(90,par3+stat('is467'.accr)/10)		2	StrSkill39	StrSkill23	clc1																																					40	Sksyn	skillname152	2		63	skillname126	Magdplev	par8		63	skillname139	Magdplev	par8		63	skillname144	Magdplev	par8																	0
sd153	2	6	3	2		54	skillname153	skillsd153	skillld153	skillan153	StrSkill3																	2	StrSkill90	StrSkill23	dm12																																																																																		0
sd154	3	6	1	3		56	skillname154	skillsd154	skillld154	skillan154	StrSkill3	5																1					12	StrSkill48		min(250,ln12)		9					10																																			40	Sksyn	skillname154	2		63	skillname130	Damplev	par8		63	skillname137	Damplev	par8		63	skillname146	Damplev	par8																	0
sd155	3	6	2	3		58	skillname155	skillsd155	skillld155	skillan155	StrSkill3																	1					12	StrSkill20		len																																										40	Sksyn	skillname155	2		67	skillname138	Secplev2	par8/25		67	skillname149	Secplev2	par8/25																						0
sd156				4	1	14	skillname217	skillsd217	skillld217	skillan217																		53	isc																																																																																				0
sd157				4		14	skillname218	skillsd218	skillld218	skillan218																		55	ibk																																																																																				0
sd158				4	2	18	skillname219	skillsd219	skillld219	skillan219																		54	tsc																																																																																				0
sd159				4		18	skillname220	skillsd220	skillld220	skillan220																		56	tbk																																																																																				0
sd160	1	1	2	1			Skillname222	Skillsd222	Skillld222	Skillan222	Eskillincaseraven																	1					5	ESkillHawk		min(lvl,par2)		7	StrSkill11		ln56		9																																																																						0
sd161	1	1	3	1		2	Skillname223	Skillsd223	Skillld223	Skillan223	StrSkill3																	1					14					13			(lvl-1)*par3																																																																								0
sd162	2	1	1	2		20	Skillname224	Skillsd224	Skillld224	Skillan224	StrSkill3																	2	StrSkill106	StrSkill23	dm34		2	StrSkill10	StrSkill23	toht																						12	StrSkill20		1000+skill('sk224'.ln12)		2	StrSkill71	StrSkill23	par1		2	StrSkill42	StrSkill23	par2+skill('sk224'.ln34)		1					40	Sksyn	Skillname224	2		18	Skillname225																													0
sd163	2	1	2	2		52	Skillname225	Skillsd225	Skillld225	Skillan225	StrSkill3																	57	StrSkill20		ln12		2	StrSkill100	StrSkill23	ln34																																																																													0
sd164	3	1	1	3		32	Skillname226	Skillsd226	Skillld226	Skillan226	StrSkill3	9																27																														1																				40	Sksyn	Skillname226	2		63	Skillname230	Firedplev	par8		63	Skillname235	Firedplev	par8																						0
sd165	1	2	1	1		16	Skillname227	Skillsd227	Skillld227	Skillan227	StrSkill3																	1					19	StrSkill18		ln78		2	StrSkill42	StrSkill23	ln12		13			(lvl-1)*par1																																																																			0
sd166	1	2	2	1		6	Skillname228	Skillsd228	Skillld228	Skillan228	StrSkill3																	2	StrSkill21	StrSkill23	ln56		2	StrSkill22	StrSkill23	ln12		5	ESkillWolves		min(lvl,par3)		9			skill('sk247'.ln12)												13			(skill('sk237'.lvl)>0)?skill('sk237'.ln12):0		1															40	Sksyn	Skillname228	2		25	Skillname238				25	Skillname248																								0
sd167	2	2	3	2		22	Skillname229	Skillsd229	Skillld229	Skillan229	StrSkill3																	2	StrSkill21	StrSkill23	ln34		2	StrSkill4	StrSkill23	ln12																						12	StrSkill20		1000+skill('sk224'.ln12)		2	StrSkill42	StrSkill23	par5+skill('sk224'.ln34)		1										40	Sksyn	Skillname229	2		18	Skillname225																													0
sd168	3	2	1	3		34	Skillname230	Skillsd230	Skillld230	Skillan230	StrSkill3	5													ml455			1					22					10					9																																			40	Sksyn	Skillname230	2		63	Skillname245	Damplev	par7		63	Skillname226	Firedplev	par8																						0
sd169	3	2	3	3		36	Skillname231	Skillsd231	Skillld231	Skillan231	StrSkill3	8																3	StrSkill3	StrSkill34	mps		19	StrSkill56		ln12/4		11					26															5	StrSkill115		par3																	40	Sksyn	Skillname231	2		63	Skillname251	Colddplev	par8		63	Skillname236	Colddplev	par8																						0
sd170	1	3	3	1		8	Skillname232	Skillsd232	Skillld232	Skillan232	StrSkill3																	1					3	StrSkill50	StrSkill23	dm56		13			(lvl-1)*par3																																																																								0
sd171	2	3	1	2		54	Skillname233	Skillsd233	Skillld233	Skillan233	StrSkill3	7	ln56											2				2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	ln56		52	EskillLifeSteal	StrSkill23	4	par2*lvl+8	52	StrSkill89	StrSkill23	19	((110*(par8+lvl/par7))*(par4-par3))/(100*((par8+lvl/par7)+6))+par3											12	StrSkill20		par1		1																																																		0
sd172	2	3	3	2		56	Skillname234	Skillsd234	Skillld234	Skillan234	StrSkill3	1												2				2	StrSkill22	StrSkill23	toht		52	StrSkill4	StrSkill23	par3	par3*(lvl/par7+par8)	12	StrSkill48		dm56																	12	StrSkill20		par4		1																																																		0
sd173	3	3	1	3		38	Skillname235	Skillsd235	Skillld235	Skillan235	StrSkill3	5													ml461			23	StrSkill20				10																									1																				40	Sksyn	Skillname235	2		63	Skillname226	Firedplev	par8		63	Skillname245	Firedplev	par8																						0
sd174	3	3	3	3		40	Skillname236	Skillsd236	Skillld236	Skillan236	StrSkill3																	1					3	StrSkill40	StrSkill41	(ln12*(100+((skill('sk240'.blvl)+skill('sk245'.blvl))+skill('sk250'.blvl))*par8))/100																																										40	Sksyn	Skillname236	2		63	Skillname241	Damplev	par8		63	Skillname246	Damplev	par8		63	Skillname251	Damplev	par8																	0
sd175	1	4	1	1		10	Skillname237	Skillsd237	Skillld237	Skillan237	StrSkill3																	1					19	StrSkill18		ln78		2	StrSkill22	StrSkill23	ln34		2	StrSkill4	StrSkill23	ln56		13			(lvl-1)*par1																																																														0
sd176	1	4	2	1		12	Skillname238	Skillsd238	Skillld238	Skillan238	StrSkill3																	2	StrSkill42	StrSkill23	ln12		5	ESkillWolves		min(lvl,par3)		9			skill('sk247'.ln12)		13			ln12												2	StrSkill21	StrSkill23	skill('sk227'.ln56)		2	StrSkill22	StrSkill23	skill('sk227'.ln12)		1										40	Sksyn	Skillname238	2		25	Skillname228									25	Skillname248																			0
sd177	2	4	1	2		24	Skillname239	Skillsd239	Skillld239	Skillan239	StrSkill3	23												2				14					2	StrSkill22	StrSkill23	toht																						1																				40	Sksyn	Skillname239	2		63	Skillname223	Poisdplev	par8																											0
sd178	2	4	2	2		26	Skillname240	Skillsd240	Skillld240	Skillan240	StrSkill3	5												1				1					2	StrSkill22	StrSkill23	toht		10					9																																			40	Sksyn	Skillname240	2		63	Skillname226	Firedplev	par8		63	Skillname230	Firedplev	par8		63	Skillname235	Firedplev	par8		63	Skillname245	Firedplev	par8												0
sd179	3	4	2	3		42	Skillname241	Skillsd241	Skillld241	Skillan241	StrSkill3	5																9																														1					12	StrSkill48		par2												40	Sksyn	Skillname241	2		63	Skillname246	Damplev	par8		63	Skillname251	Damplev	par8																						0
sd180	1	5	3	1		14	Skillname242	Skillsd242	Skillld242	Skillan242	StrSkill3																	1					3	StrSkill88	StrSkill23	dm56							13			(lvl-1)*par3																																																																			0
sd181	2	5	2	2		58	Skillname243	Skillsd243	Skillld243	Skillan243	StrSkill3	14												1				1					2	StrSkill22	StrSkill23	toht		3	EskillManaSteal	StrSkill23	dm34		3	EskillLifeSteal	StrSkill23	dm12												3	StrSkill4	StrSkill23	par5																																																				0
sd182	2	5	3	2		28	Skillname244	Skillsd244	Skillld244	Skillan244	StrSkill3	5																1					10					9																									19	StrSkill18		min(60,par3+stat('is473'.accr)/10)		12	StrSkill20		ln12							40	Sksyn	Skillname244	2		63	Skillname234	Poisdplev	par8		63	Skillname225	Poisdplev	par8		63	Skillname229	Poisdplev	par8																	0
sd183	3	5	1	3		44	Skillname245	Skillsd245	Skillld245	Skillan245	StrSkill3	5																11					10					9					8															1																				40	Sksyn	Skillname245	2		63	Skillname230	Damplev	par7		63	Skillname235	Firedplev	par8		63	Skillname250	Firedplev	par8																	0
sd184	3	5	2	3		46	Skillname246	Skillsd246	Skillld246	Skillan246	StrSkill3	5																11					10					9					8															1																				40	Sksyn	Skillname246	2		63	Skillname236	Damplev	par8		63	Skillname241	Damplev	par8		63	Skillname251	Damplev	par8																	0
sd185	1	6	1	1		4	Skillname247	Skillsd247	Skillld247	Skillan247	StrSkill3																	1					19	StrSkill18		ln78		7	StrSkill55		ln34		13			(lvl-1)*par1																																																																			0
sd186	1	6	2	1		18	Skillname248	Skillsd248	Skillld248	Skillan248	StrSkill3																	2	StrSkill4	StrSkill23	ln12		9			ln12																						2	StrSkill21	StrSkill23	skill('sk227'.ln56)		2	StrSkill22	StrSkill23	skill('sk227'.ln12)		13			skill('sk237'.ln12)		1					40	Sksyn	Skillname248	2		25	Skillname228				25	Skillname238																								0
sd187	2	6	1	2		30	Skillname249	Skillsd249	Skillld249	Skillan249	StrSkill3	7	ln34											2				1					2	StrSkill4	StrSkill23	ln34		2	StrSkill30	StrSkill23	toht		7	StrSkill11		min((par5+lvl)-1,par6)																																																																			0
sd188	3	6	1	3		50	Skillname250	Skillsd250	Skillld250	Skillan250	StrSkill3	5													ml623			10					22																									1					19	StrSkill18		min(60,par3+stat('is472'.accr)/10)		12	StrSkill20		ln12+skill('sk234'.blvl)*par7							40	Sksyn	Skillname250	2		67	Skillname235	Secplev2	2		63	Skillname226	Firedplev	par8		63	Skillname230	Firedplev	par8		63	Skillname245	Firedplev	par8												0
sd189	3	6	2	3		48	Skillname251	Skillsd251	Skillld251	Skillan251	StrSkill3	5																10																														1					19	StrSkill18		min(60,par3+stat('is471'.accr)/10)		12	StrSkill20		ln12+skill('sk235'.blvl)*par7							40	Sksyn	Skillname251	2		63	Skillname236	Damplev	par8		63	Skillname241	Damplev	par8		63	Skillname246	Damplev	par8																	0
sd190	1	1	2	1			Skillname252	Skillsd252	Skillld252	Skillan252	StrSkill3	5																1					10																									19	StrSkill18		par1																	40	Sksyn	Skillname252	2		63	Skillname257	Firedplev	par8		63	Skillname262	Firedplev	par8		63	Skillname263	Firedplev	par8		63	Skillname272	Firedplev	par8		63	Skillname273	Firedplev	par8		63	Skillname277	Firedplev	par8		0
sd191	2	1	2	2		20	Skillname253	Skillsd253	Skillld253	Skillan253	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
sd192	2	1	3	2		22	Skillname254	Skillsd254	Skillld254	Skillan254	StrSkill3	5																1			100		11					10					9																				19	StrSkill18		min(60,par3+stat('is470'.accr)/10)		12	StrSkill20		ln12							40	Sksyn	Skillname254	2		63	Skillname265	Damplev	par8		63	Skillname274	Damplev	par8		63	Skillname280	Damplev	par8																	0
sd193	3	1	2	3		40	Skillname255	Skillsd255	Skillld255	Skillan255	StrSkill3	5												1				1					2	StrSkill22	StrSkill23	toht		2	Eskillpowerup3	Eskillpuddgmper	3*ln12		2	Eskillpowerup2	Eskillpuddgmper	2*ln12		2	Eskillpowerup1	Eskillpuddgmper	ln12																																																														0
sd194	3	1	3	3		42	Skillname256	Skillsd256	Skillld256	Skillan256	StrSkill3	15												5				1					2	StrSkill22	StrSkill23	toht		2	Eskillkickdamage	StrSkill23	ln12		36	EskillKickSing	EskillKickPlur	lvl/6+1																																																																			0
sd195	1	2	1	1		2	Skillname257	Skillsd257	Skillld257	Skillan257	StrSkill3	5													ml389			1					10																														19	StrSkill18		min(60,par3+stat('is469'.accr)/10)		12	StrSkill20		ln12							40	Sksyn	Skillname257	2		63	Skillname277	Ltngdplev	par8		63	Skillname262	Ltngdplev	par8		63	Skillname272	Ltngdplev	par8																	0
sd196	1	2	3	1		4	Skillname258	Skillsd258	Skillld258	Skillan258	StrSkill3	5																72	WeapDamsk		3	8	9					12	StrSkill20		ln12																	1																																																							0
sd197	2	2	1	2		36	Skillname259	Skillsd259	Skillld259	Skillan259	StrSkill3																	1					12	StrSkill20		ln56		2	StrSkill89	StrSkill23	dm12		2	StrSkill106	StrSkill23	dm34																																																																			0
sd198	3	2	1	3		44	Skillname260	Skillsd260	Skillld260	Skillan260	StrSkill3	20			fire	enma	exma	fire	enma	exma	fire	enma+(m1eo*50)/256	exma+(m1ey*50)/256	2	ml557			1					2	StrSkill22	StrSkill23	toht		17	Eskillfistsoffire1	Eskillpowerup3	(m1eo*50)/256	(m1ey*50)/256	19	Eskillfistsoffire2	Eskillpowerup2	par1		24	Eskillfistsoffire1	Eskillpowerup1																												40	Sksyn	Skillname260	2		63	Skillname281	Firedplev	par8																											0
sd199	3	2	3	3		46	Skillname261	Skillsd261	Skillld261	Skillan261	StrSkill3	19	ln12											2				1					2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	ln12+skill('sk252'.blvl)*par8																																					40	Sksyn	Skillname261	2		63	Skillname253	Damplev	par8																											0
sd200	1	3	1	1		6	Skillname262	Skillsd262	Skillld262	Skillan262	StrSkill3																	10																														1					3	StrSkill72	StrSkill73	ln34+skill('sk256'.blvl)/3		3	ESkillShoots	ESkillTimes	par1+skill('sk271'.blvl)/4							40	Sksyn	Skillname262	2		71	Skillname257	Boltplev3	3		71	Skillname272	Shotplev3	4		63	Skillname252	Ltngdplev	par8		63	Skillname272	Ltngdplev	par8		63	Skillname277	Ltngdplev	par8							0
sd201	1	3	2	1		8	Skillname263	Skillsd263	Skillld263	Skillan263	StrSkill3																	1					10																									3	ESkillShoots	ESkillTimes	par1																	40	Sksyn	Skillname263	2		63	Skillname252	Firedplev	par8		63	Skillname273	Firedplev	par8																						0
sd202	2	3	2	2		26	Skillname264	Skillsd264	Skillld264	Skillan264	StrSkill3																	7	StrSkill24		dm12																																																																																		0
