index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
Boneslayer Blade	100	1		5	1	50	42	9ga	Gothic Axe			5	5000				invgaxu	so0		so0	pr173	10			pr171	20			pr7		8	8	pr56		20	20	pr96		35	35	pr29		180	220	pr243	101	200	20	pr128	101	50																		0
The Minataur	100	1		5	1	53	45	9gi	Ancient Axe			5	5000				inv9giu	so0		so0	pr91		2	2	pr95		1	1	pr7		15	20	pr114		50	50	pr108		30	30	pr140		20	30	pr29		140	200																					0
Suicide Branch	100	1		5	1	41	33	9wn	Burnt Wand			5	5000					so0		so0	pr54		25	25	pr86		50	50	pr41		10	10	pr12		10	10	pr13		40	40	pr104		1	1																									0
Carin Shard	100	1		5	1	43	35	9yw	Petrified Wand			5	5000	cblu	cblu			so0		so0	pr143	10			pr86		10	10	pr144	10			pr80		30	30	pr53		5	5	pr69		1	1	pr124	8	2	2																					0
Arm of King Leoric	100	1		5	1	44	36	9bw	Tomb Wand			5	5000				invbwnu	so0		so0	pr124	8	2	2	pr128	93	5	10	pr144	10			pr128	88	10	2	pr85		10	10	pr124	7	2	2	pr123	77	2	2	pr123	80	2	2	pr123	69	3	3	pr123	70	3	3									0
Blackhand Key	100	1		5	1	49	41	9gw	Grave Wand			5	5000	blac	blac		inv9gwu	so0		so0	pr124	6	1	1	pr30		20	20	pr13		50	50	pr73		-2	-2	pr87		30	30	pr31		37	37	pr69		2	2	pr243	150	30	13																	0
Dark Clan Crusher	100	1		5	1	42	34	9cl	Cudgel			5	5000	dgld	dgld		invclbu	so0		so0	pr121		2	2	pr98		200	200	pr100		200	200	pr29		195	195	pr96		20	25	pr111		15	15																									0
Zakarum's Hand	100	1		5	1	45	37	9sc	Rune Scepter			5	5000	lpur	lpur			so0		so0	pr65		8	8	pr92		1	1	pr62		10	10	pr61		15	15	pr127	59	6	5	pr29		180	220	pr56		30	30	pr123	114	2	2	pr123	118	2	2													0
The Fetid Sprinkler	100	1		5	1	46	38	9qs	Holy Water Sprinkler			5	5000					so0		so0	pr68		2	2	pr127	87	5	1	pr127	81	10	1	pr138	100	409	409	pr29		160	190	pr15		150	200	pr140		15	25																					0
Hand of Blessed Light	100	1		5	1	50	42	9ws	Divine Scepter			5	5000	lyel				so0		so0	pr68		2	2	pr29		130	160	pr96		100	100	pr0		50	50	pr62		15	15	pr73		4	4	pr140		20	45	pr123	101	4	4	pr123	121	2	2	pr127	121	5	4									0
Fleshrender	100	1		5	1	46	38	9sp	Barbed Club			5	5000	blac			invspcu	so0		so0	pr107		25	25	pr94		1	1	pr108		20	20	pr113		20	20	pr140		35	50	pr29		130	200	pr121		1	1	pr124	16	2	2	pr51		20	20													0
Sureshrill Frost	100	1		5	1	47	39	9ma	Flanged Mace			5	5000					so0		so0	pr137	125	63	112	pr115		1	1	pr29		150	180	pr140		5	10	pr106		3	3	pr243	64	50	9																									0
Moonfall	100	1		5	1	50	42	9mt	Jagged Star			5	5000				invmstu	so0		so0	pr127	56	5	6	pr134		55	115	pr6		9	12	pr29		120	150	pr73		2	2	pr243	56	60	11	pr140		10	15																					0
Baezil's Vortex	100	1		5	1	53	45	9fl	Knout			5	5000	dblu	dblu			so0		so0	pr127	48	5	8	pr135		1	150	pr11		100	100	pr33		25	25	pr29		160	200	pr56		20	20	pr243	48	80	15																					0
Earthshaker	100	1		5	1	51	43	9wh	Battle Hammer			5	5000					so0		so0	pr127	234	5	7	pr60		1	1	pr57		30	30	pr29		180	180	pr91		1	1	pr124	17	3	3	pr51		50	50																					0
Bloodtree Stump	100	1		5	1	56	48	9m9	War Club			5	5000	dred				so0		so0	pr108		50	50	pr29		180	220	pr41		20	20	pr7		25	25	pr124	13	2	2	pr123	129	3	3	pr51		40	40																					0
The Gavel of Pain	100	1		5	1	53	45	9gm	Martel de Fer			5	5000				inv9gmu	so0		so0	pr127	66	5	1	pr128	76	5	1	pr54		26	26	pr242		1	1	pr140		12	30	pr29		130	160	pr243	66	3	8																					0
Bloodletter	100	1		5	1	38	30	9ss	Gladius			5	5000	cred	cred			so0		so0	pr140		12	45	pr15		90	90	pr66		8	8	pr116		10	10	pr56		20	20	pr29		140	140	pr123	127	2	4	pr123	151	1	3	pr51		30	30													0
Coldsteel Eye	100	1		5	1	39	31	9sm	Cutlass			5	5000	dgry			invscmu	so0		so0	pr91		1	1	pr114		30	30	pr113		50	50	pr51		50	50	pr29		200	250	pr56		20	20	pr65		6	6																					0
Hexfire	100	1		5	1	41	33	9sb	Shamshir			5	5000				invsbru	so0		so0	pr243	62	36	6	pr92		1	1	pr31		25	25	pr32		10	10	pr140		35	40	pr29		140	160	pr103		3	3																					0
Blade of Ali Baba	100	1		5	1	43	35	9fc	Tulwar			5	5000	cred	cred			so0		so0	pr133	3			pr166	20			pr167	8			pr11		15	15	pr29		60	120	pr8		5	15																									0
Ginther's Rift	100	1		5	1	45	37	9cr	Dimensional Blade			5	5000	cblu			inv9cru	so0		so0	pr6		7	12	pr56		30	30	pr179	20			pr51		40	40	pr136		50	120	pr29		100	150																									0
Headstriker	100	1		5	1	47	39	9bs	Battle Sword			5	5000	bwht	bwht			so0		so0	pr94		1	1	pr7		15	15	pr177	12			pr145	8			pr29		150	150																													0
Plague Bearer	100	1		5	1	49	41	9ls	Rune Sword			5	5000				inv9lsu	so0		so0	pr127	92	5	4	pr138	200	384	384	pr140		10	45	pr29		150	150	pr39		45	45	pr123	238	5	5																									0
The Atlantian	100	1		5	1	50	42	9wd	Ancient Sword			5	5000	lblu	lblu			so0		so0	pr51		100	100	pr0		75	75	pr7		16	16	pr8		12	12	pr9		8	8	pr29		200	250	pr68		2	2	pr96		50	50																	0
Crainte Vomir	100	1		5	1	50	42	92h	Espadon			5	5000	lgld			inv2hsu	so0		so0	pr114		35	35	pr97		-70	-70	pr77		20	20	pr4		10	10	pr29		160	200	pr57		50	50																									0
Bing Sz Wang	100	1		5	1	51	43	9cm	Dacian Falx			5	5000					so0		so0	pr75		-30	-30	pr137	75	50	140	pr7		20	20	pr106		2	2	pr127	64	5	3	pr29		130	160																									0
The Vile Husk	100	1		5	1	52	44	9gs	Tusk Sword			5	5000	dgry	dgry		invgisu	so0		so0	pr127	66	6	1	pr171	60			pr39		50	50	pr138	150	426	426	pr29		150	200	pr173	20																											0
Cloudcrack	100	1		5	1	53	45	9b9	Gothic Sword			5	5000				invbswu	so0		so0	pr127	121	6	7	pr135		1	240	pr0		30	30	pr73		2	2	pr34		10	10	pr29		150	200	pr105		15	15	pr124	10	2	2	pr124	11	2	2													0
Todesfaelle Flamme	100	1		5	1	54	46	9fb	Zweihander			5	5000				inv9fbu	so0		so0	pr134		50	200	pr31		40	40	pr44		10	10	pr126	47	10	6	pr29		120	160	pr243	52	45	10	pr243	51	20	10																					0
Swordguard	100	1		5	1	55	48	9gd	Executioner Sword			5	5000	bwht	bwht		invgsdu	so0		so0	pr75		-50	-50	pr141	40			pr41		10	20	pr1		100	100	pr30		30	30	pr29		170	180	pr2		200	200	pr80		20	20	pr16		20	20													0
Spineripper	100	1		5	1	40	32	9dg	Poignard			5	5000					so0		so0	pr92		1	1	pr66		8	8	pr94		1	1	pr57		15	15	pr8		10	10	pr29		200	240	pr140		15	27	pr69		1	1																	0
Heart Carver	100	1		5	1	44	36	9di	Rondel			5	5000					so0		so0	pr113		35	35	pr92		1	1	pr140		15	35	pr29		190	240	pr123	131	4	4	pr123	142	4	4	pr123	150	4	4																					0
Blackbog's Sharp	100	1		5	1	46	38	9kr	Cinquedeas			5	5000				invkrsu	so0		so0	pr114		50	50	pr0		50	50	pr140		15	45	pr57		30	30	pr138	250	500	500	pr123	73	5	5	pr123	83	4	4	pr123	92	4	4																	0
Stormspike	100	1		5	1	49	41	9bl	Stilleto			5	5000	cblu	cblu		inv9blu	so0		so0	pr135		1	120	pr105		20	20	pr128	38	25	3	pr29		150	150	pr159	8																															0
The Impaler	100	1		5	1	39	31	9sr	War Spear			5	5000	lred	lred			so0		so0	pr92		1	1	pr15		150	150	pr56		20	20	pr107		40	40	pr94		1	1	pr29		140	170	pr123	19	5	5	pr123	14	3	3																	0
Kelpie Snare	100	1		5	1	41	33	9tr	Fuscina			5	5000				invtriu	so0		so0	pr114		75	75	pr31		50	50	pr143	10			pr140		30	50	pr7		10	10	pr29		140	180																									0
Soulfeast Tine	100	1		5	1	43	35	9br	War Fork			5	5000	lyel	lyel		inv9bru	so0		so0	pr75		-20	-20	pr66		7	7	pr65		7	7	pr116		20	20	pr29		150	190	pr15		150	250	pr51		15	15																					0
Hone Sundan	100	1		5	1	45	37	9st	Yari			5	5000					so0		so0	pr133	3			pr140		20	40	pr108		45	45	pr179	10			pr29		160	200																													0
Spire of Honor	100	1		5	1	47	39	9p9	Lance			5	5000	lgry	lgry			so0		so0	pr96		25	25	pr73		3	3	pr53		20	20	pr80		20	20	pr140		20	40	pr170	12			pr29		150	200	pr124	9	3	3	pr5		25	25													0
The Meat Scraper	100	1		5	1	49	41	9b7	Lochaber Axe			5	5000	dred	dred			so0		so0	pr29		150	200	pr56		30	30	pr66		10	10	pr107		50	50	pr59		25	25	pr124	13	3	3																									0
Blackleach Blade	100	1		5	1	50	42	9vo	Bill			5	5000	blac	blac			so0		so0	pr75		-25	-25	pr127	72	5	5	pr73		-2	-2	pr66		8	8	pr145	10			pr29		100	140																									0
Athena's Wrath	100	1		5	1	50	42	9s8	Battle Scythe			5	5000				inv9s8u	so0		so0	pr121		1	3	pr8		15	15	pr56		30	30	pr143	8			pr145	8			pr29		150	180																									0
Pierre Tombale Couant	100	1		5	1	51	43	9pa	Partizan			5	5000	lgld	lgld			so0		so0	pr113		55	55	pr71		3	3	pr80		30	30	pr65		6	6	pr140		12	20	pr29		160	220	pr15		100	200																					0
Husoldal Evo	100	1		5	1	52	44	9h9	Bec-de-Corbin			5	5000					so0		so0	pr53		20	20	pr15		200	250	pr94		1	1	pr140		20	32	pr29		160	200	pr56		20	20																									0
Grim's Burning Dead	100	1		5	1	52	45	9wc	Grim Scythe			5	5000	cred	cred			so0		so0	pr134		131	232	pr31		45	45	pr29		140	180	pr54		8	8	pr75		-50	-50	pr69		3	3	pr93		50	50	pr5		20	20	pr15		200	250													0
Razorswitch	100	1		5	1	36	28	8ss	Jo Stalf			5	5000	lpur				so0		so0	pr87		30	30	pr54		15	15	pr11		175	175	pr13		80	80	pr6		15	15	pr41		50	50	pr104		1	1																					0
Ribcracker	100	1		5	1	39	31	8ls	Quarterstaff			5	5000	lblu	lblu			so0		so0	pr140		30	65	pr29		200	300	pr108		50	50	pr8		15	15	pr0		100	100	pr5		100	100	pr80		50	50	pr56		50	50	pr51		100	100													0
Chromatic Ire	100	1		5	1	43	35	8cs	Cedar Staff			5	5000				invcstu	so0		so0	pr70		3	3	pr41		20	40	pr85		20	20	pr105		20	20	pr14		20	25	pr123	61	1	1	pr123	63	1	1	pr123	65	1	1																	0
Warpspear	100	1		5	1	47	39	8bs	Gothic Staff			5	5000	cblu	cblu			so0		so0	pr70		3	3	pr92		1	1	pr123	54	3	3	pr123	43	3	3	pr123	58	3	3	pr1		250	250		54	50	1		54	25	1																	0
Skullcollector	100	1		5	1	49	41	8ws	Rune Staff			5	5000	blac	blac		inv8wsu	so0		so0	pr12		20	20	pr110		20	20	pr104		2	2	pr167	8																																			0
Skystrike	100	1		5	1	36	28	8sb	Edge Bow			5	5000					so0		so0	pr135		1	250	pr15		100	100	pr10		10	10	pr57		30	30	pr29		150	200	pr127	56	2	6	pr67		1	1																					0
Riphook	100	1		5	1	39	31	8hb	Razor Bow			5	5000	cred	cred			so0		so0	pr107		30	30	pr29		180	220	pr114		30	30	pr11		35	35	pr56		30	30	pr66		7	10																									0
Kuko Shakaku	100	1		5	1	41	33	8lb	CedarBow			5	5000	lpur	lpur		inv8lbu	so0		so0	pr123	27	3	3	pr120		7	7	pr29		150	180	pr118		50	50	pr134		40	180	pr124		3	3																									0
Endlesshail	100	1		5	1	44	36	8cb	Double Bow			5	5000				invcbwu	so0		so0	pr35		35	35	pr11		40	40	pr1		50	50	pr123	26	3	5	pr29		180	220	pr137	75	15	30																									0
Whichwild String	100	1		5	1	47	39	8s8	Short Siege Bow			5	5000	lblu	lblu		inv8s8u	so0		so0	pr127	66	2	5	pr41		40	40	pr177	8			pr29		150	170	pr119		20	20	pr133	2																											0
Cliffkiller	100	1		5	1	49	41	8l8	Long Siege Bow			5	5000	dgld				so0		so0	pr67		2	2	pr29		190	230	pr1		80	80	pr60		1	1	pr13		50	50	pr27		5	10	pr28		20	30																					0
Magewrath	100	1		5	1	51	43	8sw	Rune Bow			5	5000	oran			invswbu	so0		so0	pr65		15	15	pr6		9	13	pr123	22	3	3	pr15		200	250	pr8		10	10	pr91		1	1	pr140		25	50	pr29		120	150	pr67		1	1													0
Godstrike Arch	100	1		5	1	54	46	8lw	Gothic Bow			5	5000	lgry	lgry			so0		so0	pr29		200	250	pr96		100	150	pr99		100	200	pr98		100	200	pr127	121	5	7	pr56		50	50	pr53		12	12																					0
Langer Briser	100	1		5	1	40	32	8lx	Arbalest			5	5000				inv8lxu	so0		so0	pr60		1	1	pr29		170	200	pr59		30	60	pr13		30	30	pr28		10	30	pr107		33	33	pr135		1	212																					0
Pus Spiter	100	1		5	1	44	36	8mx	Siege Crossbow			5	5000	cgrn	cgrn		inv8mxu	so0		so0	pr138	200	192	192	pr127	91	4	1	pr69		2	2	pr75		-60	-60	pr128	92	9	6	pr56		10	10	pr29		150	220	pr151	10																			0
Buriza-Do Kyanon	100	1		5	1	59	41	8hx	Balista			5	5000				invhxbu	so0		so0	pr118		100	100	pr8		35	35	pr0		75	150	pr145	20			pr56		80	80	pr29		150	200	pr106		3	3	pr137	200	32	196																	0
Demon Machine	100	1		5	1	57	49	8rx	Chu-Ko-Nu			5	5000	blac	blac		invrxbu	so0		so0	pr0		321	321	pr11		36	36	pr118		66	66	pr120		6	6	pr28		66	66	pr29		123	123	pr15		632	632																					0
Armor																		so0		so0																																																	0
Peasent Crown	100	1		5	1	36	28	xap	War Hat			3	5000	lgry				so0		so0	pr10		20	20	pr9		20	20	pr104		1	1	pr77		15	15	pr53		6	12	pr5		100	100																									0
Rockstopper	100	1		5	1	39	31	xkp	Sallet			3	5000				invxkpu	so0		so0	pr33		20	40	pr4		10	10	pr80		30	30	pr5		160	220	pr31		20	50	pr35		20	40	pr9		15	15																					0
Stealskull	100	1		5	1	43	35	xlm	Casque			3	5000				invhlmu	so0		so0	pr65		5	5	pr66		5	5	pr80		10	10	pr56		10	10	pr5		200	240	pr59		30	50																									0
Darksight Helm	100	1		5	1	46	38	xhl	Basinet			3	5000	blac	blac		invfhlu	so0		so0	pr73		-4	-4	pr141	16			pr115		1	1	pr65		5	5	pr128	71	6	3	pr243	264	30	5	pr31		20	40																					0
Valkiry Wing	100	1		5	1	52	44	xhm	Winged Helm			3	5000	lgld				so0		so0	pr5		150	200	pr77		20	20	pr80		20	20	pr67		1	2	pr110		2	4																													0
Crown of Thieves	100	1		5	1	57	49	xrn	Grand Crown			3	5000	dgld	dgld		invxrnu	so0		so0	pr8		25	25	pr66		9	12	pr13		50	50	pr11		35	35	pr31		33	33	pr5		160	200	pr58		80	100																					0
Blackhorn's Face	100	1		5	1	49	41	xsk	Death Mask			3	5000	blac	blac			so0		so0	pr105		25	25	pr114		20	20	pr94		1	1	pr46		20	20	pr33		15	15	pr5		180	220																									0
Vampiregaze	100	1		5	1	49	41	xh9	Grim Helm			3	5000	cgrn	cgrn		invbhmu	so0		so0	pr65		6	8	pr66		6	8	pr116		15	15	pr4		15	20	pr6		10	15	pr5		100	100	pr137	100	6	22																					0
The Spirit Shroud	100	1		5	1	36	28	xui	Ghost Armor			3	5000					so0		so0	pr115		1	1	pr104		1	1	pr6		7	11	pr53		10	10	pr5		150	150																													0
Skin of the Vipermagi	100	1		5	1	37	29	xea	SerpentSkin Armor			3	5000	dblu	dblu			so0		so0	pr5		120	120	pr41		20	35	pr87		30	30	pr6		9	13	pr104		1	1																													0
Skin of the Flayerd One	100	1		5	1	39	31	xla	Demonhide Armor			3	5000	lred	lred			so0		so0	pr179	10			pr53		15	25	pr51		30	30	pr66		5	7	pr5		150	190	pr54		15	15																									0
Ironpelt	100	1		5	1	41	33	xtu	Tresllised Armor			3	5000	dgry	dgry		invxtuu	so0		so0	pr51		125	125	pr13		25	25	pr6		10	16	pr3		15	20	pr141	24			pr5		50	100																									0
Spiritforge	100	1		5	1	43	35	xng	Linked Mail			3	5000					so0		so0	pr73		4	4	pr143	10			pr134		20	65	pr31		5	5	pr5		120	160	pr7		15	15	pr133	2																							0
Crow Caw	100	1		5	1	45	37	xcl	Tigulated Mail			3	5000					so0		so0	pr107		35	35	pr5		150	180	pr8		15	15	pr80		15	15	pr56		15	15		221	3	5																									0
Shaftstop	100	1		5	1	46	38	xhn	Mesh Armor			3	5000	dgry				so0		so0	pr1		250	250	pr4		30	30	pr13		60	60	pr5		180	220																																	0
Duriel's Shell	100	1		5	1	49	41	xrs	Cuirass			3	5000	oran	oran			so0		so0	pr7		15	15	pr141	10			pr143	8			pr5		160	200	pr31		20	20	pr33		20	20	pr39		20	20	pr35		50	50	pr115		1	1	pr51		100	100									0
Skullder's Ire	100	1		5	1	50	42	xpl	Russet Armor			3	5000					so0		so0	pr104		1	1	pr167	10			pr5		160	200	pr51		60	60	pr6		10	10	pr179	20					-10	-10			-10	-10																	0
Guardian Angel	100	1		5	1	53	45	xlt	Templar Coat			3	5000	lgry	lgry			so0		so0	pr73		4	4	pr68		1	1	pr5		180	200	pr83		30	30	pr42		15	15	pr172	5			pr16		20	20																					0
Toothrow	100	1		5	1	56	48	xld	Sharktooth Armor			3	5000	whit	whit			so0		so0	pr54		20	40	pr0		40	60	pr7		10	10	pr107		40	40	pr31		15	15	pr5		160	220	pr51		15	15																					0
Atma's Wail	100	1		5	1	59	51	xth	Embossed Plate			3	5000					so0		so0	pr8		15	15	pr53		10	10	pr12		15	15	pr80		30	30	pr141	16			pr51		50	50	pr5		120	160	pr59		20	20																	0
Black Hades	100	1		5	1	61	53	xul	Chaos Armor			3	5000					so0		so0	pr73		-2	-2	pr100		200	250	pr95		1	1	pr133	3			pr5		140	200	pr98		30	60																									0
Corpsemourn	100	1		5	1	63	55	xar	Ornate Armor			3	5000	blac	blac		invxaru	so0		so0	pr7		8	8	pr9		10	10	pr35		35	35	pr128	76	6	2	pr5		150	180	pr134		12	36	pr243	74	40	5																					0
Que-Hegan's Wisdon	100	1		5	1	59	51	xtp	Mage Plate			3	5000					so0		so0	pr86		20	20	pr110		3	3	pr6		6	10	pr10		15	15	pr80		20	20	pr5		140	160	pr104		1	1																					0
Visceratuant	100	1		5	1	36	28	xuc	Defender			3	5000	dred			invbucu	so0		so0	pr70		1	1	pr83		30	30	pr16		30	30	pr5		100	150	pr105		10	10																													0
Mosers Blessed Circle	100	1		5	1	39	31	xml	Round Shield			3	5000				invxmlu	so0		so0	pr41		25	25	pr16		25	25	pr133	2			pr5		180	220	pr83		30	30																													0
Stormchaser	100	1		5	1	43	35	xrg	Scutum			3	5000	cblu	cblu		invxrgu	so0		so0	pr135		1	60	pr16		20	20	pr95		1	1	pr33		50	50	pr15		150	150	pr5		160	220	pr83		10	10	pr128	59	4	6	pr128	245	4	5													0
Tiamat's Rebuke	100	1		5	1	46	38	xit	Dragon Shield			3	5000	lgry	lgry		invkitu	so0		so0	pr137	150	27	53	pr134		35	95	pr135		1	120	pr41		25	35	pr5		140	200	pr128	44	5	9	pr128	48	5	7	pr128	62	3	6	pr51		40	40													0
Kerke's Sanctuary	100	1		5	1	52	44	xow	Pavise			3	5000	lgrn	lgrn		invtowu	so0		so0	pr3		11	16	pr6		14	18	pr53		15	15	pr5		180	240	pr51		100	100	pr16		30	30	pr41		20	30																					0
Radimant's Sphere	100	1		5	1	58	50	xts	Ancient Shield			3	5000				invgtsu	so0		so0	pr138	100	204	204	pr128	92	5	5	pr39		75	75	pr5		160	200	pr16		20	20	pr83		20	20	pr243	83	40	6	pr51		20	20																	0
Lidless Wall	100	1		5	1	49	41	xsh	Grim Shield			3	5000	dgld	dgld		invxshu	so0		so0	pr73		1	1	pr104		1	1	pr86		20	20	pr110		3	5	pr5		80	130	pr10		10	10	pr12		10	10																					0
Lance Guard	100	1		5	1	43	35	xpk	Barbed Shield			3	5000				invxpku	so0		so0	pr13		50	50	pr80		30	30	pr30		15	15	pr54		47	47	pr5		70	120	pr113		20	20																									0
Venom Grip	100	1		5	1	37	29	xlg	Demonhide Gloves			5	5000	dgrn				so0		so0	pr39		30	30	pr40		5	5	pr138	100	153	153	pr108		5	5	pr66		5	5	pr0		15	25	pr5		130	160																					0
Gravepalm	100	1		5	1	39	32	xvg	Sharkskin Gloves			5	5000					so0		so0	pr10		10	10	pr7		10	10	pr99		100	200	pr101		100	200	pr5		140	180																													0
Ghoulhide	100	1		5	1	44	36	xmg	Heavy Bracers			5	5000					so0		so0	pr173	16			pr171	16			pr65		4	5	pr13		20	20	pr5		150	190																													0
Lavagout	100	1		5	1	50	42	xtg	Battle Guantlets			5	5000	lyel				so0		so0	pr31		24	24	pr95		1	1	pr127	52	2	10	pr56		20	20	pr5		150	200	pr134		13	46	pr51		20	20																					0
Hellmouth	100	1		5	1	55	47	xhg	War Gauntlets			5	5000					so0		so0	pr134		15	72	pr44		15	15	pr5		150	200	pr51		15	15	pr127	56	2	4	pr127	225	4	12																									0
Infernostride	100	1		5	1	37	29	xlb	Demonhide Boots			5	5000					so0		so0	pr134		12	33	pr77		20	20	pr32		10	10	pr31		30	30	pr73		2	2	pr5		120	150	pr58		40	70	pr0		15	15	pr128	46	5	8													0
Waterwalk	100	1		5	1	40	32	xvb	Sharkskin Boots			5	5000					so0		so0	pr1		100	100	pr77		20	20	pr8		15	15	pr5		180	210	pr13		45	65	pr63		40	40	pr32		5	5	pr61		50	50																	0
Silkweave	100	1		5	1	44	36	xmb	Mesh Boots			5	5000					so0		so0	pr5		150	190	pr110		5	5	pr1		200	200	pr12		10	10	pr77		30	30																													0
Wartraveler	100	1		5	1	50	42	xtb	Battle Boots			5	5000					so0		so0	pr9		10	10	pr7		10	10	pr59		30	50	pr51		30	30	pr77		25	25	pr5		150	190	pr140		15	25	pr54		5	10	pr116		40	40													0
Gorerider	100	1		5	1	55	47	xhb	War Boots			5	5000	dred				so0		so0	pr75		-25	-25	pr113		15	15	pr77		30	30	pr108		15	15	pr107		10	10	pr5		160	200	pr51		10	10	pr63		20	20																	0
String of Ears	100	1		5	1	37	29	zlb	Demonhide Sash			5	5000	lred				so0		so0	pr6		10	15	pr4		10	15	pr66		6	8	pr5		150	180	pr0		15	15	pr51		10	10																									0
Razortail	100	1		5	1	39	32	zvb	Sharkskin Belt			5	5000					so0		so0	pr165	8			pr8		15	15	pr118		33	33	pr0		15	15	pr5		120	150	pr28		10	10																									0
Gloomstrap	100	1		5	1	45	36	zmb	Mesh Belt			5	5000					so0		so0	pr73		-3	-3	pr12		15	15	pr65		5	5	pr5		120	150	pr9		15	15	pr62		15	15																									0
Snowclash	100	1		5	1	49	42	ztb	Battle Belt			5	5000					so0		so0	pr128	59	5		pr50		15	15	pr36		15	15	pr137	75	13	21	pr5		130	170	pr123	59	2	2	pr123	55	3	3	pr123	60	2	2																	0
Thudergod's Vigor	100	1		5	1	55	47	zhb	War Belt			5	5000					so0		so0	pr128	121	5	7	pr135		1	50	pr34		10	10	pr46		20	20	pr5		160	200	pr9		20	20	pr7		20	20	pr123	34	3	3	pr123	35	3	3													0
Elite Uniques																		so0		so0																																																	0
Harlequin Crest	100	1		5	1	69	62	uap	Shako			3	5000	cgrn	cgrn			so0		so0	pr104		2	2	pr143	12			pr144	12			pr59		50	50	pr4		10	10	pr7		2	2	pr8		2	2	pr9		2	2	pr10		2	2													0
Veil of Steel	100	1		5	1	77	73	uhm	Spired Helm			3	5000	lgry	lgry			so0		so0	pr41		50	50	pr5		60	60	pr7		15	15	pr9		15	15	pr73		-4	-4	pr51		20	20	pr0		140	140			-30	-30																	0
The Gladiator's Bane	100	1		5	1	85	85	utu	Wire Fleece			3	5000	lgry	lgry			so0		so0	pr5		150	200	pr6		15	20	pr3		15	20	pr54		20	20	pr88		50	50	pr51		103	103	pr80		30	30	pr0		50	50	pr115		1	1													0
Arkaine's Valor	100	1		5	1	85	85	upl	Balrog Skin			3	5000	lred	lred			so0		so0	pr5		150	180	pr80		30	30	pr104		1	2	pr3		10	15	pr150	4																															0
Blackoak Shield	100	1		5	1	67	61	uml	Luna			3	5000				invsmlu	so0		so0	pr148	4			pr5		160	200	pr161	5			pr128	72	4	5	pr51		45	45	pr143	10			pr83		50	50	pr95		1	1																	0
Stormshield	100	1		20	1	77	73	uit	Monarch			3	5000				dun2	so0		so0	pr141	30			pr4		35	35	pr7		30	30	pr242		1	1	pr83		35	35	pr33		25	25	pr16		25	25	pr35		60	60	pr105		10	10													0
Hellslayer	100	1		5	1	71	66	7bt	Decapitator			5	5000	dred	dred		invbtxu	so0		so0	pr147	4			pr150	4			pr146	24			pr134		150	250	pr13		25	25	pr29		100	100	pr126	47	10				-25	-25																	0
Messerschmidt's Reaver	100	1		5	1	75	70	7ga	Champion Axe			5	5000	blac	blac		invgaxu	so0		so0	pr146	20			pr29		200	200	pr7		15	15	pr8		15	15	pr9		15	15	pr10		15	15	pr134		20	240	pr51		25	25	pr96		100	100													0
Baranar's Star	100	1		5	1	70	65	7mt	Devil Star			5	5000	lred	lred		invmstu	so0		so0	pr96		200	200	pr29		200	200	pr8		15	15	pr7		15	15	pr56		50	50	pr51		100	100	pr135		1	200	pr134		1	200	pr137		1	200													0
Schaefer's Hammer	100	1		10	1	83	79	7wh	Legendary Mallet			5	5000	lblu	lblu			so0		so0	pr127	42	20	10	pr13		50	50	pr151	16			pr33		75	75	pr56		20	20	pr145	16			pr242		1	1	pr29		100	130	pr73		1	1	pr135		50	200									0
The Cranium Basher	100	1		5	1	85	87	7gm	Thunder Maul			5	5000	blac	blac			so0		so0	pr56		20	20	pr242		1	1	pr7		25	25	pr41		25	25	pr108		75	75	pr140		20	20	pr29		200	240	pr127	66	4	1			-30	-30													0
Lightsabre	100	1		5	1	66	58	7cr	Phase Blade			5	5000	lblu			invcrsu	so0		so0	pr73		7	7	pr126	53	5		pr92	1	1	1	pr45		25	25	pr56		20	20	pr136		60	120	pr135		1	200	pr65		5	7	pr29		150	200	pr140		10	30									0
Doombringer	100	1		5	1	75	69	7b7	Champion Sword			5	5000	dred	dred		invbswu	so0		so0	pr14		20	20	pr29		180	250	pr96		40	40	pr242		1	1	pr140		30	100	pr127	72	8	3	pr66		5	7																					0
The Grandfather	100	1		10	1	85	81	7gd	Colossus Blade			5	5000	lyel	lyel		invgsdu	so0		so0	pr7		20	20	pr8		20	20	pr9		20	20	pr10		20	20	pr96		50	50	pr13		80	80	pr145	20			pr242		1	1	pr29		150	250													0
Wizardspike	100	1		5	1	69	61	7dg	Bone Knife			5	5000	lgry	lgry			so0		so0	pr144	16			pr62		15	15	pr12		15	15	pr41		75	75	pr242		1	1	pr87		50	50																									0
Constricting Ring	100			5	1	95	95	rin	Ring			5	5000	cblu	cblu			so0		so0	pr41		100	100	pr53		-30	-30	pr59		100	100	pr42		15	15																																	0
