skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
sk92	92	nec	sd92		22												ml118																																																												so2472	so0			so0	so0	so0		so0		so0					25					ml118												1	3		none												SC	SC	xx																	1						so2472			30	20					sk83														1	8	20		1																																10	damage synergy	1								4															pois	10	10	10	10	10	10	10	10	10	10	10	10	((skill('sk73'.blvl)+skill('sk83'.blvl))+skill('sk78'.blvl))*par8	12							896	64000
sk93	93	nec	sd93		10												ml193	ml193																																																											so2447	so0			so0	so0	so0		so0		so0					18					ml193												1	7		none												SC	SC	xx																	1			4			so2447			30	20					sk84								1						1	7	24	1	1										0	+ dmg%																					6	damage synergy	1								8															mag	20	16	17	18	19	20	30	17	18	19	20	21	(((skill('sk78'.blvl)+skill('sk88'.blvl))+skill('sk67'.blvl))+skill('sk84'.blvl))*par8								896	64000
sk94	94	nec	sd94		56																					is39	100-dm12	is142	dm12	is48	edmn	is49	edmx															is67	skill('sk79'.dm34)	is19	skill('sk79'.ln56)+skill('sk75'.blvl)*skill('sk75'.par8)	is31	skill('sk90'.blvl)*skill('sk90'.par8)							ms292	pt3	1	S1	sk102	min(ln56,30)												so2470	so0			so0	so0	so0		so0		so0																						1	6		none												SC	SC	xx					4												1						so0			30	20					sk90														1	8	50	10	1	1									skill('sk79'.ln12)+skill('sk85'.blvl)*skill('sk85'.par8)	hp % adjustment							25	min % fire absorbtion	100	max % fire absorbtion	100	% damage increase	35	% damage increase per level	8	Holy Fire Aura level	1	Plus Holy Fire Aura level			6	fire golem damage synergy	1								8															fire	10	9	10	11	12	13	27	10	11	12	13	14									896	64000
sk95	95	nec	sd95	21	58																					is25	skill('sk69'.lvl)*skill('sk69'.par4)																					is67	par5												pt6	lvl	NU													1	so2475	so0			so0	so0	so0		so2476		so0				24						ml269	ml268	ml270										1	6		none												SC	SC	xx					4			1		3	1												so0			30	20					sk80	sk90													1	8	45		1										par1+skill('sk69'.lvl)*skill('sk69'.par3)	hp % adjustment	ln34	duration					200	additional hp percent			4500	Duration		additional duration/level	50	Velocity bonus for revived							1								8																																				896	64000
sk96	96	pal	sd96	29	64																																																																								so2389	so0	1		so0	so0	so0		so0		so0					34					ml18				3	blood1-bigblood1							1	7		h2h		mele										A1	A1	xx	2		1	1		1	1								1								so0			1	20													1							8			1										(ln12+skill('sk124'.blvl)*par8)+skill('sk122'.blvl)*par7	damage %	par3	damage self %					180	Percent damage	15	percent damage per level	8	percent damage to self							5	damage synergy	15	damage synergy	1	20	7						8	128																																			256	1000
sk97	97	pal	sd97		150																																																																								so280	so0	1		so0	so0	so0		so0		so0																						1	9		h2h	4	shld										S1	S1	xx				1		1	1								1								so0			1	20													1						1	8	2												ln34	damage %	min(250,ln12)	stunlen					15	Stun Length	5	additional frames/level	15	Percent bonus damage	15	percent damage per level									1				8				8																																				256	1000
sk98	98	pal	sd98		65																73731	st33	st33		ln12	is25	ln34																																																		so0	so0			so0	so0	so0		so0		so0																					1	1	9		none														xx																							so0			1	20																			1	8			1	1	1		50														16	radius	2	additional radius per level	40	% additional damage	10	% additional damage/level									1								8																																				256	1000
sk99	99	pal	sd99		65																73731	st34	st34		ln12	is6	edns																																																		so0	so0			so0	so0	so0		so0		so0																						1	7		none														xx																							so0			1	20																			1	4	16	3	1	1	1		50														16	radius	2	additional radius per level													1								8																2	1	1	2	2	3															256	1000
sk100	100	pal	sd100		65																73731	st3	st3		ln12	is39	dm34	is40	skill('sk100'.blvl)																	st181		is40	skill('sk100'.blvl)/2																												so0	so0			so0	so0	so0		so0		so0																					1	1	8		none														xx																							so0			1	20																				8			1	1	1		50														16	radius	2	additional radius per level	35	min % resist	150	max % resist									1								8																																				256	1000
sk101	101	pal	sd101											ml55																																																															so2380	so0			so0	so0	so0		so0		so0	ol28								ml55													1	7		none												SC	SC	xx												1	1				1						so2380	ol28		6	20													1						1	4	32	1	1										(ln12*(100+skill('sk99'.blvl)*par7))/100	min heal	(ln34*(100+skill('sk99'.blvl)*par7))/100	max heal					1	min hitpoints healed	2	hitpoints healed per level	6	max hitpoints healed	4	hitpoints healed per level					15	heal synergy	50	damage synergy	1								8															mag	8	8	10	13	16	20	16	8	11	15	18	23	(skill('sk112'.blvl)+skill('sk121'.blvl))*par8								384	3000
sk102	102	pal	sd102		66																42883	st35			ln12																							is48	(enms*par5)/256	is49	(exms*par5)/256																										so0	so0			so0	so0	so0		so0		so0																						1			none														xx																							so0			6	20					sk98															8			1	1	1		50														6	radius	1	additional radius per level					6	damage to attack multiplier			6	damage synergy	18	damage synergy	1				16385				7															fire	2	1	2	3	5	7	6	1	2	3	5	7	skill('sk100'.blvl)*par8+skill('sk125'.blvl)*par7								384	3000
sk103	103	pal	sd103		65																73731	st36	st36		ln12	is131	ln34																																																		so0	so0			so0	so0	so0		so0		so0																						1	9		none														xx																							so0			6	20																				8			1	1	1		50														16	radius	2	additional radius per level	250	% damage bounced back	40	% additional bounce back/level									1								8																																				384	3000
sk104	104	pal	sd104		65																73731	st37	st37		ln12	is171	ln34																																																		so0	so0			so0	so0	so0		so0		so0																					1	1	4		none														xx																							so0			6	20																				8			1	1	1		50														16	radius	2	additional radius per level	70	% additional AC	10	% additional AC/level		?		?					1								8																																				384	3000
sk105	105	pal	sd105		65																73731	st4	st4		ln12	is43	dm34	is44	skill('sk105'.blvl)																	st182		is44	skill('sk105'.blvl)/2																												so0	so0			so0	so0	so0		so0		so0																					1	1	6		none														xx																							so0			6	20																				8			1	1	1		50														16	radius	2	additional radius per level	35	min % resist	150	max % resist		?		?					1								8																																				384	3000
sk106	106	pal	sd106	37	13																																																																							1	so2392	so0			so0	so0	so0		so0		so0				53	21																	1	2		h2h		mele										A1	A1	xx						1	1								1								so0			12	20					sk96								1						1	8	2												min((par5+lvl)-1,par6)	max targets	((lvl<5)?0:((lvl-4)*par4))+skill('sk96'.blvl)*par8	damage %							100	% frame rollback		% damage percent	6	damage % per level	2	Targets	20	Max targets			12	damage synergy	1	10	10						8	128																																			512	8000
sk107	107	pal	sd107	31	67																																																																							1	so2376	so0			so0	so0	so0		so0		so0				25	37																	1	2		none		mele										SQ	A1	xx	4	8	1			1	1								1								so0			12	20					sk97								1						1	8	9												ln34+(skill('sk115'.blvl)+skill('sk98'.blvl))*par8	damage %						elem conversion%	150	percent increase in velocity		?	100	plus % damage	25	plus % dam per level	2	Trails		?			20	damage synergy	1	50	15						8	128																																			512	8000
sk108	108	pal	sd108		65																73731	st40	st40		ln12	is119	ln34																			st67		is119	skill('sk108'.blvl)*par8																												so0	so0			so0	so0	so0		so0		so0																					1	1	6		none														xx																							so0			12	20					sk98															8			1	1	1		50														16	radius	2	additional radius per level	75	% attack# bonus	15	% additional attack# bonus		?		?			5	passive to hit bonus	1								8																																				512	8000
sk109	109	pal	sd109		65																73731	st45	st45		ln12	is110	100-dm34	is6	ln56																																																so0	so0			so0	so0	so0		so0		so0																						1	3		none														xx																							so0			12	20					sk99															8			1	1	1		50														16	radius	2	additional radius per level	30	min % reduction	90	max % reduction	500	?	500	?					1								8																																				512	8000
sk110	110	pal	sd110		65																73731	st5	st5		ln12	is41	dm34	is42	skill('sk110'.blvl)																	st183		is42	skill('sk110'.blvl)/2																												so0	so0			so0	so0	so0		so0		so0																					1	1	6		none														xx																							so0			12	20																				8			1	1	1		50														16	radius	2	additional radius per level	35	min % resist	150	max % resist		?		?					1								8																																				512	8000
sk111	111	pal	sd111	35	2																																																																								so0	so0		1	so0	so0	so0		so0		so0																						1	3		h2h		mele										A1	A1	xx				1		1	1								1								so0			18	20					sk106								1						1	6	16	1	1										(ln12+skill('sk100'.blvl)*par8)+skill('sk125'.blvl)*par7	fire damage%	(ln12+skill('sk105'.blvl)*par8)+skill('sk125'.blvl)*par7	cold damage%	(ln12+skill('sk110'.blvl)*par8)+skill('sk125'.blvl)*par7	ltng damage%			70	percent damage	6	percent damage per level		?		?		?		?	2	damage synergy	10	damage synergy	1	20	10						8	128														cold														30	15	15	15				640	16000
sk112	112	pal	sd112		124																42883	st205		ln56	min(90,par3+stat('is459'.accr)/10)																																																				so2380	so0			so0	so0	so0		so0		so0										ml92	ml92	ml92		3		75						1	2		none												SC	SC	xx				1													1						so2380			18	20					sk101								1						1	8	25		1																			Concentration influence in 8ths		?	18	?	3	?	1500	?	150	?	35		10	damage synergy	1				1	2			8															mag	30	40	50	60	70	76	40	40	50	60	70	80	(((skill('sk115'.blvl)+skill('sk108'.blvl))+skill('sk113'.blvl))+stat('is441'.accr))*par8									
sk113	113	pal	sd113		65																73731	st42	st42		ln12	is25	ln34	is164	par5																																																so0	so0			so0	so0	so0		so0		so0																					1	1	6		none														xx																							so0			18	20					sk108															8			1	1	1		50														16	radius	2	additional radius per level	60	% additional damage	15	$ additional damage/level		percent chance that attack will not be interrupted		?					1								8																																				640	16000
sk114	114	pal	sd114		81																303747	st43	st44		ln12	is67	-dm34	is68	-dm34	is69	-dm34																	is54	(enms*par5)/256	is55	(exms*par5)/256																										so0	so0			so0	so0	so0		so0		so0																						1	8		none														xx																							so0			18	20					sk102															8			1	1	1		50														6	radius	1	additional radius per level	25	min% slowing	60	max% slowing	5	damage to attack multiplier		?	7	damage synergy	15	damage synergy	1				16385				8															cold	2	1	2	3	4	5	3	1	2	3	4	5	skill('sk105'.blvl)*par8+skill('sk125'.blvl)*par7								640	16000
sk115	115	pal	sd115		65																73731	st41	st41		ln12	is28	ln34	is162	ln34	is67	dm56																																														so0	so0			so0	so0	so0		so0		so0																					1	1	1		none														xx																							so0			18	20					sk109	sk104														8			1	1	1		50														16	radius	3	additional radius per level	50	% faster stamina recovery and max stamina	25	% additional stamina recovery and max stamina	7	min % speed increase	50	max % speed increase					1								8																																				640	16000
sk116	116	pal	sd116		124																42883	st145		ln56	min(90,par3+stat('is461'.accr)/10)																																																				so0	so0			so0	so0	so0		so0		so0														3		75						1			none												SC	SC	xx				1													1						so0			24	20					sk111								1						1	8	25		1											chance to convert							400	duration of conversion (frames)		additional frames/level	18	min % chance convert	3	max % chance convert	1500	?	150	?			10		1				1	2			8															fire	30	40	50	60	70	76	40	40	50	60	70	80	((((skill('sk106'.blvl)+skill('sk111'.blvl))+skill('sk96'.blvl))+stat('is443'.accr))*par8)/3								768	32000
sk117	117	pal	sd117	36	18																	st101		ln12		is20	dm56		ln34+skill('sk104'.blvl)*par8																																																so2387	so0			so0	so0	so0		so0		so0																						1	3		none		shld										SC	SC	xx															1								so0			24	20					sk107	sk112		1											1	8	35		1	1									ln34+skill('sk104'.blvl)*par8	ac bonus to shield							750	duration of shield	625	duration/level	25	AC bonus	15	AC bonus per level	10	min % ToBlock Add	40	max % ToBlockAdd			15	armor synergy	1								8		3	2	3	4	4	4	6	2	3	4	4	4																							768	32000
sk118	118	pal	sd118		66																42883	st46			ln12																																																				so0	so0			so0	so0	so0		so0		so0																						1	4		none														xx																							so0			24	20					sk114															8			1	1	1		50														6	radius	1	additional radius per level					6	damage to attack multiplier		?	4	damage synergy	12	damage synergy	1				16385				8															ltng	1	2	3	4	5	6	15	6	8	10	12	15	skill('sk110'.blvl)*par8+skill('sk125'.blvl)*par7								768	32000
sk119	119	pal	sd119		66																59270	st47			ln12	is122	ln34	is124	ln56	is103	1																																														so0	so0			so0	so0	so0		so0		so0	ol28									ml57												1			none														xx																	1						so0			24	20					sk103	sk114													1	8	1		1	1	1		50														5	radius	1	additional radius per level	150	% damage to undead	30	% damage per level	100	att vs. undead	50	att vs. undead per level			7	damage synergy	1				11		157		8															mag	8	4	4	5	5	6	16	4	5	6	6	7	skill('sk109'.blvl)*par8								768	32000
sk120	120	pal	sd120		65																73729	st48	st48		ln12	is27	ln34	is6	skill('sk99'.edns)																																																so0	so0			so0	so0	so0		so0		so0																						1	7		none														xx																							so0			24	20					sk109															8			1	1	1		50														16	radius	2	additional radius per level	300	% boost to mana recovery	25	% additional boost/level		?		?					1								8																																				768	32000
sk121	121	pal	sd121		124																42883	st190		ln56	min(90,par3+stat('is460'.accr)/10)																																																				so2378	so0			so0	so0	so0		so0		so0														3		75						1	7		none												SC	SC	xx																	1						so0			30	20					sk112	sk116													1	8	25		1											min heal		max heal			ln12	# bolts		holy bolts to release		holy bolts per level	18	min hitpoints healed	3	hitpoints healed per level	1500	max hitpoints healed	150	hitpoints healed per level	10		10	damage synergy	1				1	2			8															ltng	30	40	50	60	70	76	40	40	50	60	70	80	((((skill('sk110'.blvl)+skill('sk125'.blvl))+skill('sk118'.blvl))+stat('is442'.accr))*par8)/3								896	64000
sk122	122	pal	sd122		65																73731	st49	st49		ln12	is68	dm34	is119	toht	is25	ln56/2																	is25	ln56																												so0	so0			so0	so0	so0		so0		so0																					1	1	8		none														S1																							so0			30	20					sk113															8			1	1	1		50														11	radius	1	additional radius per level	10	min% boost	40	max% boost	50	% damage boost	17	% damage bonus per level					1	40	5						8																																				896	64000
sk123	123	pal	sd123		66																42371	st28	st28		ln12	is41	-min(ln34,80)	is39	-min(ln34,80)	is43	-min(ln34,80)																																														so0	so0			so0	so0	so0		so0		so0																						1	6		none		mele												xx	5		1																				so0			30	20					sk119															8			1	1	1		6														20	radius		additional radius per level	5	% resist reduction	5	% resist reduction per level	40	min % AC reduction	100	max % AC reduction					1								8																																				896	64000
sk124	124	pal	sd124		82																4354	st50			ln12																																																				so0	so0			so0	so0	so0		so0		so0										ml173												1			none														xx																							so0			30	20					sk115															8			1	1	1		50						dm34	chance to redeem	ln56	hp gain	ln56	mana gain			20	radius		additional radius per level	10	min % chance redeem	100	max % chance redeem	25	HP and mana gained	5	HP and mana gained/level					1								8																																				896	64000
sk125	125	pal	sd125		65																73731	st8	st8		ln12	is39	dm34	is43	dm34	is41	dm34																																														so0	so0			so0	so0	so0		so0		so0																					1	1	8		none														xx																							so0			30	20																				8			1	1	1		50														16	radius	2	additional radius per level	5	min % resist	120	max % resist									1								8																																				896	64000
sk126	126	bar	sd126	32	2																																																																								so0	so2505	1		so0	so0	so0		so0		so0																						1	7		h2h		mele										A1	A1	xx				1		1	1								1								so0			1	20													1						1	8	2		1										ln12+skill('sk139'.blvl)*par8	damage%	ln34	post dmg add		attack rate bonus			50	Damage % base	5	Damage % per level	1	Min Damage	1	Min Damager per level					5	to hit synergy	5	damage synergy	1			(15+lvl*5)+skill('sk144'.blvl)*par7	8		112		8	128																																			256	1000
sk127	127	bar	sd127																																											st74	swor	is342	ln12	is343	ln34	is344	dm56																								so0	so0			so0	so0	so0		so0		so0																						1			none												SC	SC	xx				1																			so0			1	20																				8			1		1				1												28	Attack % base	8	Attack % per level	28	Damage % base	5	damage % per level		critical%	35	critical%					1								8																																				256	1000
sk128	128	bar	sd128																																											st75	axe	is342	ln12	is343	ln34	is344	dm56																								so0	so0			so0	so0	so0		so0		so0																						1			none												SC	SC	xx				1																			so0			1	20																				8			1		1				1												28	Attack % base	8	Attack % per level	28	Damage % base	5	damage % per level		critical%	35	critical%					1								8																																				256	1000
sk129	129	bar	sd129																																											st76	blun	is342	ln12	is343	ln34	is344	dm56																								so0	so0			so0	so0	so0		so0		so0																						1			none												SC	SC	xx				1																			so0			1	20																				8			1		1				1												28	Attack % base	8	Attack % per level	28	Damage % base	5	damage % per level		critical%	35	critical%					1								8																																				256	1000
sk130	130	bar	sd130		22												ml148						st56																																																						so0	so2511			so0	so0	so0		so0		so0					25					ml148				par1*(lvl-1)	velocity adder							1			none												SC	SC	xx				1													1						so0			1	20																			1	8	4		1										par1*(lvl-1)	velocity adder							2	Velocity/level increase	1	Plev+Slev+n	24	Distance to retreat	5	Distance per level	75	Time to retreat	25	Time per level					1								8																																				256	1000
sk131	131	bar	sd131	33	69																																																																							1	so0	so2496			so0	so0	so0		so2499		so0				26	38																	1			h2h												SC	SC	xx				1				1		4	1												so0			1	20																			1	8	2		1										dm12	chance								min chance to find heart	100	max chance to find heart	30	Chance of finding a mana potion	10	Chance of finding rejuv									1								8																																				256	3000
sk132	132	bar	sd132	40	77												ml346								dm12																																																			1	so0	so2514			so0	so0	so0		so0		so0				29	43																	1			none												SQ	A1	xx	13		1																				so0			6	20													1						1	8	2		1										ln34	knockback radius							4	min distance	30	max distance	4	Knockback range	1	knockback range per level									1								8																																				384	3000
sk133	133	bar	sd133		70																																																																								so0	so0		1	so0	so0	so0		so0		so0				27	39									par5	attack rate bonus							1	5		h2h	3	mele					mele					SQ	A1	xx	11		1	1		1	1								1								so0			6	20					sk126								1							5	8	-1	1										skill('sk126'.blvl)*par8	damage%		post dmg add	par5	attack rate bonus			50	Attack rate bonus							50	Attack rate bonus					10	damage synergy	1	15	5						8	128																																			384	3000
sk134	134	bar	sd134																																											st77	pole	is342	ln12	is343	ln34	is344	dm56																								so0	so0			so0	so0	so0		so0		so0																						1			none												SC	SC	xx				1																			so0			6	20																				8			1						1												30	Attack % base	8	Attack % per level	28	Damage % base	5	damage % per level		critical%	35	critical%					1								8																																				384	3000
sk135	135	bar	sd135																																											st78	thro	is345	ln12	is346	ln34	is347	dm56																								so0	so0			so0	so0	so0		so0		so0																						1			none												SC	SC	xx				1																			so0			6	20																				8			1						1												30	Attack % base	8	Attack % per level	28	Damage % base	5	damage % per level		critical%	35	critical%					1								8																																				384	3000
sk136	136	bar	sd136																																											st79	spea	is342	ln12	is343	ln34	is344	dm56																								so0	so0			so0	so0	so0		so0		so0																						1			none												SC	SC	xx				1																			so0			6	20																				8			1						1												30	Attack % base	8	Attack % per level	28	Damage % base	5	damage % per level		critical%	35	critical%					1								8																																				384	3000
sk137	137	bar	sd137		71																34179		st27			is119	ln12	is25	ln34																																																so0	so2524			so0	so0	so0		so0		so0																						1			none												SC	SC	S1				1				1									1						so0			6	20					sk130														1	8	3		1																		-5	% to hit for target	-2	% to hit/level	-5	% damage for target	-2	% damage/level									1								8																																				384	3000
sk138	138	bar	sd138		68												ml149					st26	st26	ln34+(skill('sk149'.blvl)+skill('sk155'.blvl))*par8		is171	ln12																																																		so0	so2521			so0	so0	so0		so0		so0					25					ml149												1	8		none												SC	SC	SC				1																			so0			6	20					sk130			1											1	8	6		1																		100	% AC bonus for friendlies	10	% AC bonus per level	500	duration	250	duration/level							125	duration synergy	1								8																																				384	3000
sk139	139	bar	sd139	32	2																																																																								so0	so2505	1		so0	so0	so0		so0		so0																						1			h2h		mele										A1	A1	xx				1		1	1								1		1						so0			12	20					sk126								1						1	8	2		1										skill('sk126'.blvl)*par8								30	Frames the target is stunned	5	additional frames/level							5	stun synergy	5	to hit synergy	8	damage synergy	1			(10+lvl*5)+skill('sk144'.blvl)*par7			96		8	128														stun														30	5	5	2	skill('sk154'.blvl)*par6			512	8000
sk140	140	bar	sd140		74																																																																								so0	so0			so0	so0	so0		so0		so0				11	42																	1	5		rng	3	thro					thro					SQ	A1	xx	15		1	1																			so0			12	20					sk133								1		6				1	8	1		1										skill('sk133'.blvl)*par8	damage%								?		?											8	damage synergy	1	20	10						8	128																																			512	8000
sk141	141	bar	sd141																																											st80		is163	ln12																												so0	so0			so0	so0	so0		so0		so0																						1			none												SC	SC	xx				1																			so0			12	20																				8			1						1												30	% stamina increase	15	% stamina increase per level													1								8																																				512	8000
sk142	142	bar	sd142	34	72																																																																							1	so0	so2496			so2499	so0	so0		so0		so0				28	40																	1			h2h												SC	SC	xx				1				1		5	1												so0			12	20					sk131														1	8	7		1										dm12	chance							5	min chance to find heart	60	max chance to find heart	30	% chance high quality	5	% chance magic item									1								8																																				512	8000
sk143	143	bar	sd143	41	78															ol147																																																								1	so0	so2518			so0	so0	so0		so0		so0				30	44																	1	6		none		mele										SQ	A1	xx	14		1			1																	so0			18	20					sk132								1						1	8	9		1										ln34+skill('sk132'.blvl)*par8								4	min distance	30	max distance	100	Min % damage bonus	30	% damage bonus	4	Knockback range	2	knockback range per level			10	damage synergy	1	50	15						8	128																																			640	16000
sk144	144	bar	sd144	32	2															ol54		st15				is171	ln34																																																		so0	so2505	1		so0	so0	so0		so0		so0																						1			h2h		mele										A1	A1	xx				1		1	1								1								so0			18	20					sk139								1						1	8	2												(ln12+skill('sk126'.blvl)*par8)+skill('sk149'.blvl)*par7	damage%		post dmg add		attack rate bonus	skill('sk152'.blvl)	convert%	70	Damage % base	5	Damage % per level	100	% AC bonus	10	% AC bonus per level					10	damage synergy	5	damage synergy	1	60	10						8	128														mag																					640	16000
sk145	145	bar	sd145																																											st81		is171	ln12																												so0	so0			so0	so0	so0		so0		so0																						1			none												SC	SC	xx				1																			so0			18	20																				8			1						1												30	% AC bonus	10	% AC bonus per level	2		2										1								8																																				640	16000
sk146	146	bar	sd146		124												ml219				42883	st207		ln12	min(90,par3+stat('is466'.accr)/10)																																																				so2352	so0			so0	so0	so0		so0		so2335										ml219	ml219	ml219		1		25						1	9		none												SC	SC	xx				1																			so0			18	20					sk137														1	8	25		1																		1500	duration	150	duration/level	18	% AC bonus	3	% AC bonus per level		$ damage bonus		% damage bonus per level	35		10		1				1	2			8		30	40	50	60	70	76	40	40	50	60	70	80	(((skill('sk130'.blvl)+skill('sk137'.blvl))+skill('sk154'.blvl))+stat('is445'.accr))*par8																						640	16000
sk147	147	bar	sd147		9																	st94		par7		is67	dm34	is68	dm56																																																so0	so0		1	so0	so0	so0		so0		so0					39																	1	3		h2h	3	mele					mele					SQ	A1	xx	11			1		1	1								1								so0			24	20					sk140								1						1	7	3												ln12+(skill('sk133'.blvl)+skill('sk137'.blvl))*par8	damage%					skill('sk152'.blvl)	convert%	90	Damage % base	5	Damage % per level	20	min % run speed increase	200	max % run speed increase		min % attack speed increase	50	max % attack speed increase	150	duration	8	damage synergy	1	100	7						8	128														mag																					768	32000
sk148	148	bar	sd148																																											st82		is67	dm12																												so0	so0			so0	so0	so0		so0		so0																						1			none												SC	SC	xx				1																			so0			24	20					sk141															8			1						1												7	min % speed increase	50	max % speed increase													1								8																																				768	32000
sk149	149	bar	sd149		68												ml237					st32	st32	ln12+(skill('sk138'.blvl)+skill('sk155'.blvl))*par8		is77	ln34	is76	ln34	is162	ln34																																														so0	so2487			so0	so0	so0		so0		so0					25					ml237												1	9		none												SC	SC	xx				1																			so0			24	20					sk138			1											1	8	7		1																		750	duration	250	duration/level	35	Base % increase	3	Increase per level							125	duration synergy	1	50	10						8																																				768	32000
sk150	150	bar	sd150		124																42883	st206		ln12	min(90,par3+stat('is465'.accr)/10)																																																				so2352	so0			so0	so0	so0		so0		so2335														1		25						1			none												SC	SC	xx				1																			so0			30	20					sk142														1	8	25		1											ward duration							1500	radius	150	radius/level	18	duration	3	duration/level		Distance to run		Monster scare duration	35		10		1				1	2			8															pois	4	8	8	8	8	8	4	8	8	8	8	8	(((skill('sk142'.blvl)+skill('sk131'.blvl))+skill('sk145'.blvl))+stat('is444'.accr))*par8	3							896	64000
sk151	151	bar	sd151	38	76																	st174																																																						1	so0	so2531			so0	so0	so0		so0		so0				31	45																	1	3		none	2	mele										SQ	A1	xx	10		1			1									1								so0			30	20					sk143	sk144							1						1	7	25	1											ln12	damage%							-50	Damage percent per attack	8	Damage percent per level	1	Attacks per tick											1		5						8	128																																			896	64000
sk152	152	bar	sd152		124																42883	st205		ln12	min(90,par3+stat('is467'.accr)/10)																																																				so2352	so0			so0	so0	so0		so0		so0														1		25						1			none												SC	SC	xx				1											1								so0			30	20					sk144														1	8	25		1											damage%		duration				convert%	1500	Damage % base	150	Damage % per level	18	min vulnerable duration	3	max vulerable duration		damage resist bonus			35		10	damage synergy	1				1	2			8															mag	30	40	50	60	70	76	40	40	50	60	70	80	(((skill('sk126'.blvl)+skill('sk139'.blvl))+skill('sk144'.blvl))+stat('is446'.accr))*par8								896	64000
sk153	153	bar	sd153																																											st83		is39	dm12	is41	dm12	is43	dm12	is45	dm12																						so0	so0			so0	so0	so0		so0		so0																						1			none												SC	SC	xx				1																			so0			30	20					sk145															8			1						1													min % resistance bonus	80	max % resistance bonus													1								8																																				896	64000
sk154	154	bar	sd154		68												ml235																																																												so0	so2527			so0	so0	so0		so0		so0	ol170				25					ml235												1	9		none												SC	SC	xx				1																			so0			30	20					sk146	sk149													1	8	10	1	1																		25	stun length	5	stun length per level											6	damage synergy	1								8		20	6	7	8	9	10	30	6	7	8	9	10	((skill('sk130'.blvl)+skill('sk137'.blvl))+skill('sk146'.blvl))*par8																						896	64000
sk155	155	bar	sd155		68												ml236					st51	st51	ln12+(skill('sk138'.blvl)+skill('sk149'.blvl))*par8		is127	1																																																		so0	so2493			so0	so0	so0		so0		so0					25					ml236												1	9		none												SC	SC	xx				1																			so0			30	20					sk149			1											1	8	11		1																		125	duration	250	duration/level											125	duration synergy	1								8																																				896	64000
