name	type	type2	code	alternateGfx	namestr	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam		rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HraltiMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem
sst 	staf		sst	bst	sst			2	1				1	1	5				1	-10	100				20		1		168	3168	1		bst	sst	8ss	6ss	stf	stf	5	club	1	3					flpsst	invsst			1	2		magically charged		so245	12	so245			5	0						7			5					255					255	5	9	5	9	1					255					255					255					255					255					1					255					255					255					255					255					255					255					255			5	8		cst	bst	1	
lst 	staf		lst	sst	lst			2	1				1	2	8				1		100				30		8		463	10204	1		bst	lst	8ls	6ls	stf	stf	5	staf	1	4					flplst	invlst			1	3		magically charged		so245	12	so245			5	0						7			5					255					255	2	3	1	2	1					255					255	1	2		2	1					255					255	1	1		1	1					255					255					255					255					255					255					255					255			5	8		cst	wst	1	
cst 	staf		cst	cst	cst			2	1				1	4	12				1	10	100				35		12		766	17692	1		bst	cst	8cs	6cs	stf	stf	5	staf	1	4					flpcst	invcst	invcstu	invcstu	1	4		magically charged		so245	12	so245			5	0						7			5					255					255					255					255					255	3	5	5	9	1					255					255	2	3	2	5	1					255					255					255					255					255					255					255					255			5	8		xxx	wst	1	
bst 	staf		bst	sst	bst			2	1				1	6	13				1		100				40		17		1223	31791	1		bst	bst	8bs	6bs	stf	stf	5	staf	1	4					flpbst	invbst			1	4		magically charged		so245	12	so245			5	0						7			5					255					255					255					255					255	1	3	1	3	1					255					255	2	3	2	5	1					255					255					255					255	2	3	1	3	20					255					255	2	3	1	4	20			5	8		xxx	xxx	1	
wst 	staf		wst	lst	wst			2	1				1	12	28				1	20	100				50		24		1985	62140	1		bst	wst	8ws	6ws	stf	stf	5	staf	2	4					flpwst	invwst			1	6		magically charged		so245	12	so245			5	0						7			5					255					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255	1	2	1	2	20					255					255	1	3	1	4	20			5	8		xxx	xxx	1	
sbw 	bow		sbw	sbw	sbw			2	1				1	1	4			13		5		100		15	20	1	1		100	3100			sbw	sbw	8sb	6sb	bow	bow	6	bow	2	3					flpsbw	invsbw			1	3				so211	12	so211			5	1						7			1	1	1	1	1	1					255					255					255					255					255					255					255					255					1					255					255					255					255					255					255					255			5	8		hbw	cbw	1	
hbw 	bow		hbw	sbw	hbw			2	1				1	2	6			13		-10		100		28	32	1	5		350	6750			sbw	hbw	8hb	6hb	bow	bow	6	bow	2	3					flphbw	invhbw			1	4				so211	12	so211			5	1						7			1	1	1	1	1	1		1	1	1	20					255					255					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			5	8		lbw	sbb	1	
lbw 	bow		lbw	lbw	lbw			2	1				1	3	10			13				100	22	19	28	1	8		490	10420			sbw	lbw	8lb	6lb	bow	bow	6	bow	2	4					flplbw	invlbw			1	5				so211	12	so211			5	1						7			1					255	1	1	1	1	20					255			1	1	20					255					255					255					255					255	1	1		1	1					255					255					255					255					255					255					255			5	8		cbw	lbb	1	
cbw 	bow		cbw	lbw	cbw			2	1				1	4	8			13		-10		100	25	35	36	1	12		727	17224			sbw	cbw	8cb	6cb	bow	bow	6	bow	2	3					flpcbw	invcbw	invcbwu	invcbwu	1	4				so211	12	so211			5	1						7			1					255					255					255	1	1	1	2	20					255					255					255					255					255		1			255		1			255		1			255					255					255					255					255					255			5	8		sbb	swb	1	
sbb 	bow		sbb	sbb	sbb			2	1				1	5	11			13				100	30	40	40	1	18		1045	30310			sbw	sbb	8s8	6s7	bow	bow	6	bow	2	3					flpsbb	invsbb	invsbbu	invsbbu	1	5				so211	12	so211			5	1						7			1					255					255					255	1	1	1	2	20					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					20					255					255					255			5	8		lbb	lwb	1	
lbb 	bow		lbb	lbb	lbb			2	1				1	3	18			13		10		100	40	50	44	1	23		1545	49535			sbw	lbb	8l8	6l7	bow	bow	6	bow	2	4					flplbb	invlbb			1	6				so211	12	so211			5	1						7			1					255					255					255					255					255					255					255					255					255					255	1	1		1	1	1	1		1	1					255					20					255					255					255			5	8		swb	lwb	1	
swb 	bow		swb	sbb	swb			2	1				1	6	14			13				100	35	55	48	1	27		2500	83500			sbw	swb	8sw	6sw	bow	bow	6	bow	2	3					flpswb	invswb	invswbu	invswbu	1	5				so211	12	so211			5	1						7			1					255					255					255					255					255					255					255					255					255					255		1		1	1		1		1	1					255	1	1	1	1	20	1	1	1	2	20					255					255			5	8		lwb	xxx	1	
lwb 	bow		lwb	lbb	lwb			2	1				1	3	23			13		10		100	50	65	55	1	31		3575	128825			sbw	lwb	8lw	6lw	bow	bow	6	bow	2	4					flplwb	invlwb			1	6				so211	12	so211			5	1						7			1					255					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	1	20	1	1	1	2	20					255					255			5	8		xxx	xxx	1	
lxb 	xbow		lxb	lxb	lxb			2	1				1	6	9					-10		100	21	27	30	1	6		803	10318			lxb	lxb	8lx	6lx	xbw	xbw	5	xbow	2	3					flplxb	invlxb	invlxbu	invlxbu	1	3		reload lag between shots		so215	12	so215			5	1						7			1		1		1	1					255					255					255					255					255					255					255					255	1	1	1	1	255					255					255					255					255					255					255					255			5	8		mxb	rxb	1	
mxb 	xbow		mxb	lxb	mxb			2	1				1	9	16							100	40	33	40	1	15		2345	45175			lxb	mxb	8mx	6mx	xbw	xbw	5	xbow	2	3					flpmxb	invmxb	invmxbu	invmxbu	1	4		reload lag between shots		so215	12	so215			5	1						7			1					255					255					255	1	1	1	1	20					255					255					255					255					255					1	1	1		1	1	1	1		1	1					255					255					255					255					255			5	8		hxb	hxb	1	
hxb 	xbow		hxb	hxb	hxb			2	1				1	14	26					10		100	60	40	50	1	24		4096	112804			lxb	hxb	8hx	6hx	xbw	xbw	5	xbow	2	4					flphxb	invhxb	invhxbu	invhxbu	1	6		reload lag between shots		so215	12	so215			5	1						7			1					255					255					255					255					255					255					255					255					255					255		1		1	1		1		1	1					255	1	1	1	1	20		1	1	1	20					255					255			5	8		xxx	xxx	1	
rxb 	xbow		rxb	hxb	rxb			2	1				1	6	12					-40		100	40	50	40	1	33		2739	109387			lxb	rxb	8rx	6rx	xbw	xbw	5	xbow	2	3					flprxb	invrxb	invrxbu	invrxbu	1	5		fires 5 shots before reload		so215	12	so215			5	1						7			1					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	20		1	1	2	20					255					255			5	8		xxx	xxx	1	
gps 	tpot		gps	gpl	gps				1		1														2	1	32	24	200				gpl	gps			1ht	1ht	5	hth	1	1	1	3	25	6	flpgpl	invgpl								so237	14	so237			5	0	1				49	7	3							255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx		1
ops 	tpot		ops	opl	ops				1		1														2	1	28	20	150				opl	ops			1ht	1ht	5	hth	1	1	1	3	25	6	flpopl	invopl								so237	14	so237			5	0	1				46	7	3							255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx		1
gpm 	tpot		gpm	gps	gpm				1		1														2	1	20	16	120				gps	gpm			1ht	1ht	5	hth	1	1	1	3	25	6	flpgps	invgpm								so237	14	so237			5	0	1				48	7	3							255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx		1
opm 	tpot		opm	opl	opm				1		1														2	1	16	12	80				opl	opm			1ht	1ht	5	hth	1	1	1	3	25	6	flpops	invopm								so237	14	so237			5	0	1				45	7	3							255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx		1
gpl 	tpot		gpl	gps	gpl				1		1														2	1	8	6	40				gps	gpl			1ht	1ht	5	hth	1	1	1	3	25	6	flpgps	invgps								so237	14	so237			5	0	1				47	7	3							255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx		1
opl 	tpot		opl	ops	opl				1		1														2	1	4		24				ops	opl			1ht	1ht	5	hth	1	1	1	3	25	6	flpops	invops								so237	14	so237			5	0	1				44	7	3							255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx	xxx		1
d33 	knif		d33	dgr	d33					1	2									-20	100		15	20	10				666				dgr	d33			1ht	1ht	5	1ht	1	2					flpd33	invd33								so244	12	so244	1		5	0			18	1		7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx	xxx		
g33 	knif		g33	dgr	g33					3	7									-20	100		15	25	30				666				dgr	g33			1ht	1ht	5	1ht	1	2					flpg33	invg33								so244	12	so244	1		5	0			18	1		7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx	xxx		
leg 	club		leg	clb	leg					2	8									-10	100				66				20				clb	leg			1hs	1hs	5	1hsl	1	3					flpleg	invleg			1	3				so245	12	so245			5	0			1	1		7			1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8		xxx	xxx	1	
hdm 	hamm		hdm	whm	hdm					6	15									20	100		15	15	55				600				whm	hdm			1hs	1hs	5	1hsl	1	2					flphmr	invhmr								so246	12	so246	1		5	0			4	1		7								255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx		
hfh 	axe		hfh	whm	hfh					6	15										100				55				600				whm	hfh			1hs	1hs	5	1hsl	2	3					flphmr	invhfh			1	5				so246	12	so246	1		5	0			25	1		7			1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	1	xxx	xxx		
hst 	staf		hst	bst	hst								1	12	20				2		100		30		50				1223				bst	hst			stf	stf	5	staf	1	4					flphst	invhst						magically charged		so245	12	so245	1		5	0			10	1		7			5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	1	xxx	xxx		
msf 	staf		msf	bst	msf								1	10	15				2		100		25		45				1223				bst	msf			stf	stf	5	staf	1	3					flpmsf	invmsf						magically charged		so245	12	so245	1		5	0			10	1		7			5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	1	xxx	xxx		
9ha 	axe		9ha	hax	9ha			3	1	10	21										100		25	25	28		31	19	810	43110			hax	hax	9ha	7ha	1hs	1hs	5	1hsl	1	3					flphax	invhax	invhaxu	invhaxu	1	2				so244	12	so244			5	0					35	7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2		xxx	xxx	1	
9ax 	axe		9ax	axe	9ax			4	1	10	33								1	10	100		68		24		34	22	1509	70806			axe	axe	9ax	7ax	1hs	1hs	5	1hsl	2	3					flpaxe	invaxe	invaxeu	invaxeu	1	4				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2		xxx	xxx	1	
92a 	axe		92a	axe	92a			4	1	13	38								1	10	100		85		24		39	25	2919	135841			axe	2ax	92a	72a	1hs	1hs	5	1hsl	2	3					flp2ax	inv2ax			1	5				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2		xxx	xxx	1	
9mp 	axe		9mp	axe	9mp			4	1	14	34								1	-10	100		94	70	26		43	25	4563	220209			axe	mpi	9mp	7mp	1hs	1hs	5	1hsl	2	3					flpmpi	invmpi	invmpiu	invmpiu	1	6				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx	1	
9wa 	axe		9wa	hax	9wa			4	1	16	45								2		100		121		26		48	25	6669	346612			hax	wax	9wa	7wa	1hs	1hs	5	1hsl	2	3					flpwax	invwax			1	6				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx	1	
9la 	axe		9la	lax	9la			4	1				1	14	34				1	-10	100		73		30		34	22	1362	65808			lax	lax	9la	7la	stf	stf	5	2hsl	2	3					flplax	invlax			1	4				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx	1	
9ba 	axe		9ba	lax	9ba			4	1				1	21	49				1		100		92		35		38	25	2718	124784			lax	bax	9ba	7ba	stf	stf	5	2hsl	2	3					flpbrx	invbrx			1	5				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx	1	
9bt 	axe		9bt	btx	9bt			4	1				1	24	77				1	10	100		101		40		42	25	4086	195112			btx	btx	9bt	7bt	stf	stf	5	2hsl	2	3					flpbtx	invbtx	inv9btu	inv9btu	1	5				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2		xxx	xxx	1	
9ga 	axe		9ga	btx	9ga			4	1				1	18	70				2	-10	100		115	79	50		46	25	6048	303708			btx	gax	9ga	7ga	stf	stf	5	2hsl	2	4					flpgax	invgax	invgaxu	invgaxu	1	6				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx	1	
9gi 	axe		9gi	gix	9gi			4	1				1	43	85				3	10	100		125		50		51	25	7530	412030			gix	gix	9gi	7gi	stf	stf	5	2hsl	2	3					flpgix	invgix	inv9giu	inv9giu	1	6				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx	1	
9wn 	wand		9wn	wnd	9wn			1	1	8	18										100		25		15		31	19	915	46365	1		wnd	wnd	9wn	7wn	1hs	1hs	5	1hss	1	2					flpwnd	invwnd			1	1		magically charged		so247	12	so247			5	0						7			5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8		xxx	xxx	1	
9yw 	wand		9yw	ywn	9yw			1	1	8	24									10	100		25		15		38	25	2535	117830	1		ywn	ywn	9yw	7yw	1hs	1hs	5	1hss	1	2					flpywn	invywn			1	2		magically charged		so247	12	so247			5	0						7			5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8		xxx	xxx	1	
9bw 	wand		9bw	bwn	9bw			1	1	10	22									-20	100		25		15		43	25	4188	204084	1		bwn	bwn	9bw	7bw	1hs	1hs	5	1hss	1	2					flpbwn	invbwn	invbwnu	invbwnu	1	2		magically charged		so247	12	so247			5	0						7			5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx	xxx	1	
9gw 	wand		9gw	bwn	9gw			1	1	13	29										100		25		15		49	25	6594	350106	1		bwn	gwn	9gw	7gw	1hs	1hs	5	1hss	1	2					flpgwn	invgwn	inv9gwu	inv9gwu	1	2		magically charged		so247	12	so247			5	0						7			5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx	xxx	1	
9cl 	club		9cl	clb	9cl			1	1	6	21									-10	100		25		24		30	18	396	29380			clb	clb	9cl	7cl	1hs	1hs	5	club	1	3					flpclb	invclb	invclbu	invclbu	1	2				so245	12	so245			5	0						7			1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2		xxx	xxx	1	
9sc 	scep		9sc	mac	9sc			2	1	13	24										100		58		50		31	19	1350	59850			mac	scp	9sc	7sc	1hs	1hs	5	club	1	3					flpscp	invscp			1	2		magically charged		so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx	1	
9qs 	scep		9qs	mac	9qs			4	1	14	36								1	10	100		76		60		40	25	3627	167580			mac	gsc	9qs	7qs	1hs	1hs	5	club	1	3					flpgsc	invgsc			1	3		magically charged		so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx	1	
9ws 	scep		9ws	whm	9ws			4	1	16	38								1	-10	100		103		70		45	25	7269	352105			whm	wsp	9ws	7ws	1hs	1hs	5	club	2	3					flpwsp	invwsp			1	5		magically charged		so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx	1	
9sp 	club		9sp	clb	9sp			3	1	13	25								1		100		30		36		32	20	975	49700			clb	spc	9sp	7sp	1hs	1hs	5	1hsl	1	3					flpspc	invspc	invspcu	invspcu	1	3				so245	12	so245			5	0						7			1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx	1	
9ma 	mace		9ma	mac	9ma			4	1	15	23										100		61		60		35	23	1689	79115			mac	mac	9ma	7ma	1hs	1hs	5	1hsl	1	3					flpmac	invmac			1	2				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx	1	
9mt 	mace		9mt	mac	9mt			4	1	20	31								1	10	100		74		72		39	25	2832	132448			mac	mst	9mt	7mt	1hs	1hs	5	1hsl	1	3					flpmst	invmst	invmstu	invmstu	1	3				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx	xxx	1	
9fl 	mace		9fl	fla	9fl			4	1	13	35								2	-10	100		82	73	30		43	25	4536	219048			fla	fla	9fl	7fl	1hs	1hs	5	1hsl	2	3					flpfla	invfla			1	5				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx	1	
9wh 	hamm		9wh	whm	9wh			4	1	35	58									20	110		100		55		48	25	6543	340564			whm	whm	9wh	7wh	1hs	1hs	5	1hsl	2	3					flpwhm	invwhm			1	4				so246	12	so246			5	0					178	7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx	1	
9m9 	hamm		9m9	mau	9m9			4	1				1	53	78				1	10	110		124		60		45	25	5310	263950			mau	mau	9m9	7m7	stf	stf	5	2hsl	2	4					flpmau	invmau			1	6				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx	1	
9gm 	hamm		9gm	mau	9gm			3	1				1	61	99				2	20	110		169		60		53	25	9945	556085			mau	gma	9gm	7gm	stf	stf	5	2hsl	2	3					flpgma	invgma	inv9gmu	inv9gmu	1	6				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx	1	
9ss 	swor		9ss	ssd	9ss			3	1	8	22										100		25		24		30	18	516	32980			ssd	ssd	9ss	7ss	1hs	1hs	5	1hsl	1	3					flpssd	invssd			1	2				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx	xxx	1	
9sm 	swor		9sm	scm	9sm			3	1	8	21									-30	100		25	52	22		43	25	1122	72246			scm	scm	9sm	7sm	1hs	1hs	5	1hsl	1	3					flpscm	invscm	invscmu	invscmu	1	2				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx	xxx	1	
9sb 	swor		9sb	scm	9sb			3	1	10	24									-10	100		58	58	32		35	23	1698	79430			scm	sbr	9sb	7sb	1hs	1hs	5	1hsl	1	3					flpsbr	invsbr	invsbru	invsbru	1	2				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx	xxx	1	
9fc 	swor		9fc	flc	9fc			4	1	16	35									20	100		70	42	32		37	25	2349	107913			flc	flc	9fc	7fc	1hs	1hs	5	1hsl	1	3					flpflc	invflc			1	2				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx	xxx	1	
9cr 	swor		9cr	crs	9cr			2	1	13	35								1		100		85	60	20		37	25	6681	268197			crs	crs	9cr	7cr	1hs	1hs	5	1hsl	2	3					flpcrs	invcrs	inv9cru	inv9cru	1	6				so246	12	so246			5	0	5					7			1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8		xxx	xxx	1	
9bs 	swor		9bs	bsd	9bs			4	1	16	34										100		92	43	32		40	25	3387	157980			bsd	bsd	9bs	7bs	1hs	1hs	5	1hsl	2	3					flpbsd	invbsd			1	4				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx	xxx	1	
9ls 	swor		9ls	lsd	9ls			4	1	10	42								1	-10	100		103	79	44		44	25	4860	238340			lsd	lsd	9ls	7ls	1hs	1hs	5	1hsl	2	3					flplsd	invlsd	inv9lsu	inv9lsu	1	4				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx	xxx	1	
9wd 	swor		9wd	flc	9wd			4	1	18	43								1		100		127	88	44		49	25	6291	335259			flc	wsd	9wd	7wd	1hs	1hs	5	1hsl	1	3					flpwsd	invwsd			1	3				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx	xxx	1	
92h 	swor		92h	clm	92h			4	1	8	26	1	1	18	40				2		100		73	61	44		37	25	2232	103584			clm	2hs	92h	72h	1hs	2hs	5	2hss	1	4					flp2hs	inv2hs	inv2hsu	inv2hsu	1	3				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx	xxx	1	
9cm 	swor		9cm	clm	9cm			4	1	13	30	1	1	26	61				2	10	100		91	20	50		42	25	4086	195112			clm	clm	9cm	7cm	1hs	2hs	5	2hss	1	4					flpclm	invclm			1	4				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx	xxx	1	
9gs 	swor		9gs	gsd	9gs			4	1	10	37	1	1	19	58				2		100		104	71	50		45	25	4677	235465			gsd	gis	9gs	7gs	1hs	2hs	5	2hss	1	4					flpgis	invgis	invgisu	invgisu	1	4				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx	xxx	1	
9b9 	swor		9b9	clm	9b9			4	1	14	40	1	1	39	60				1	10	100		113	20	40		48	25	6213	324724			clm	bsw	9b9	7b7	1hs	2hs	5	2hss	1	4					flpbsw	invbsw	invbswu	invbswu	1	4				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx	xxx	1	
9fb 	swor		9fb	clm	9fb			4	1	19	35	1	1	29	54				2	-10	100		125	94	50		49	25	7500	394500			clm	flb	9fb	7fb	1hs	2hs	5	2hss	2	4					flpflb	invflb	inv9fbu	inv9fbu	1	5				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx	xxx	1	
9gd 	swor		9gd	gsd	9gd			4	1	24	40	1	1	47	80				2	10	100		170	110	50		54	25	10653	604762			gsd	gsd	9gd	7gd	1hs	2hs	5	2hss	2	4					flpgsd	invgsd	invgsdu	invgsdu	1	6				so229	12	so229			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx	xxx	1	
9dg 	knif		9dg	dgr	9dg			2	1	6	18									-20	75	75	25		16		31	19	480	32880			dgr	dgr	9dg	7dg	1ht	1ht	5	1ht	1	2					flpdgr	invdgr			1	1				so244	12	so244			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx	xxx	1	
9di 	knif		9di	dir	9di			2	1	10	26										75	75	25	58	20		36	24	1896	88756			dir	dir	9di	7di	1ht	1ht	5	1ht	1	2					flpdir	invdir			1	1				so244	12	so244			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx	xxx	1	
9kr 	knif		9kr	dir	9kr			2	1	15	31									-20	75	75	25	88	24		42	25	3981	190702			dir	kri	9kr	7kr	1ht	1ht	5	1ht	1	3					flpkrs	invkrs	invkrsu	invkrsu	1	3				so244	12	so244			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx	xxx	1	
9bl 	knif		9bl	dgr	9bl			3	1	19	36									-10	75	75	47	97	24		46	25	5592	282732			dgr	bld	9bl	7bl	1ht	1ht	5	1ht	1	3					flpbld	invbld	inv9blu	inv9blu	1	2				so244	12	so244			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx	xxx	1	
9tk 	tkni		9tk	dgr	9tk			2	1	8	16					11	24	15			75	75	25	52	6		31	19	80	20480			dgr	tkf	9tk	7tk	1ht	1ht	5	1ht	1	2	1	40	160	75	flptkn	invtkn						primarily thrown		so244	12	so244			5	0					36	7	4		3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx	xxx	1	
9ta 	taxe		9ta	hax	9ta			2	1	11	22					18	33	15		10	75	75	25	80	15		34	22	90	22560			hax	tax	9ta	7ta	1hs	1hs	5	1hsl	1	2	1	16	130	32	flptax	invtax						primarily thrown		so244	12	so244			5	0					35	7	5		3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	2		xxx	xxx	1	
9bk 	tkni		9bk	dgr	9bk			2	1	6	24					14	27	15		-20	75	75	25	97	20		39	25	100	25900			dgr	bkf	9bk	7bk	1ht	1ht	5	1ht	1	2	1	30	160	60	flpbkf	invbkf						primarily thrown		so244	12	so244			5	0					36	7	4		3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx	xxx	1	
9b8 	taxe		9b8	hax	9b8			2	1	13	27					24	34	15		-10	75	75	25	106	16		41	25	110	27510			hax	bal	9b8	7b8	1hs	1hs	5	1hsl	2	3	1	16	130	24	flpbal	invbal						primarily thrown		so246	12	so246			5	0					35	7	5		3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx	xxx	1	
