Stat	ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	Divide	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	itemspecific	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	*eol
is332	332		1	32											978	394	1024		8		9	50																	88	4	1	ModitemdamPoissk	ModitemdamPoissk									0
is333	333		1	32												2578	1024		8		8																		87	20	1	Moditemenresfiresk	Moditemenresfiresk		6	20	1	Moditem6allpierce	Moditem6allpierce			0
is334	334		1	32												2493	1024		8		8																		87	20	1	Moditemenresltngsk	Moditemenresltngsk		6	20	1	Moditem6allpierce	Moditem6allpierce			0
is335	335		1	32												1984	1024		8		8																		87	20	1	Moditemenrescoldsk	Moditemenrescoldsk		6	20	1	Moditem6allpierce	Moditem6allpierce			0
is336	336		1	32												2345	1024		8		8																		87	20	1	Moditemenrespoissk	Moditemenrespoissk		6	20	1	Moditem6allpierce	Moditem6allpierce			0
is337	337		1	32													1024		8		8																															0
is338	338		1	32													1024		7		7																															0
is339	339		1	32													1024		7		7																															0
is340	340		1	32													1024		7		7																															0
is341	341		1	32													1024		8		8																															0
is342	342		1	32	8												1024		8		8																															0
is343	343		1	32	8												1024		8		8																															0
is344	344		1	32	8												1024		8		8																															0
is345	345		1	32	8												1024		8		8																															0
is346	346		1	32	8												1024		8		8																															0
is347	347		1	32	8												1024		8		8																															0
is348	348		1	32	8												1024		8		8																															0
is349	349		1	32													1024		8		8																															0
is350	350			32													1024																																			0
is351	351			32													1024																																			0
is352	352		1	32													1024																																			0
is353	353			32													1024																																			0
is354	354			32													1024																																			0
is355	355			32													1024																																			0
is356	356			32													1024				2																															0
is357	357		1	32											1211	431	1024		8		9	50																	88	4	1	ModitemdamMagsk	ModitemdamMagsk									0
is358	358		1	32												2812	1024		8		8																		87	20	1	Moditemenremagsk	Moditemenremagsk		6	20	1	Moditem6allpierce	Moditem6allpierce			0
is359	359		1	9											1091	409	1024		5		6																		46	4	1	Moditemmaxdmgresist	Moditemmaxdmgresist		7	4	2	Moditem2resmax	Moditem2resmax			
is360	360		1	9												2812	1024		8		8																		88	20	1	Moditemenresdmgsk	Moditemenresdmgsk		6	20	1	Moditem6allpierce	Moditem6allpierce			
is361	361		1	7											5486	102	1024		7		7																		23	2	2	Moditemabsdmgpercent	Moditemabsdmgpercent		3	2	2	ModStrabsallpercent	ModStrabsallpercent			
is362	362		1	24											1739	204	1024		20		20																		27	1	1	Moditemabsdmg	Moditemabsdmg		4	1	1	ModStrabsall	ModStrabsall			
is363	363		1	7											5486	102	1024		7		7																		23	2	2	Moditemabspoispercent	Moditemabspoispercent		3	2	2	ModStrabsallpercent	ModStrabsallpercent			
is364	364		1	24											1739	204	1024		20		20																		27	1	1	Moditemabspois	Moditemabspois		4	1	1	ModStrabsall	ModStrabsall			
is365	365		1	32										3	401	256	1024		30																																	
is366	366		1	32										3	401	256	1024		30																																	
is367	367		1	12										3	401	256	1024		30		12																															
is368	368		1	12										3	401	256	1024		30		12																															
is369	369		1	32										3	401	256	1024		30		7																		2	4	1											
is370	370		1	32										3	401	256	1024		30		7																		3	4	1											
is371	371			32										3	401	256	1024		30		32																		1	3												
is372	372		1														1024				3																		220	1	1	Modstrduanzao	Modstrduanzao	Modstrduanzao		1	1	Modstrduanzao	Modstrduanzao			
is373	373		1	32			1	1	16										8		16																		199	1	1	Modstrxinnian	Modstrxinnian			1	1	Modstrxinnian	Modstrxinnian			
is374	374		1														1024				3																		220	3		Modstrshanggu	Modstrshanggu	Modstrshanggu		1	1	Modstrshanggu	Modstrshanggu			
is375	375		1														1024				3																		220	3		Modstryuangu	Modstryuangu	Modstryuangu		1	1	Modstryuangu	Modstryuangu			
is376	376		1														1024				4																		198	1	1	Modstrshengji	Modstrshengji			1	1	Modstrshengji	Modstrshengji			
is377	377																																																			
is378	378		1	6													1024				4																															
is379	379		1	32			1		32								1024														1								88	1	1											
is380	380			32													1024				10																															
is381	381			32													1024		32		32																															
is382	382			32													1024		32		32																															
is383	383			32													1024		32		32																															
is384	384			32													1024		32		32																															
is385	385			32													1024		32		32																															
is386	386			32													1024		32		32																															
is387	387			32													1024		32		32																															
is388	388			32													1024		32		32																															
is389	389			32													1024		32		32																															
is390	390			32													1024		32		32																															
is391	391			32													1024		32		32																															
is392	392			32													1024		32		32																															
is393	393			32													1024		32		32																															
is394	394			32													1024		32		32																															
is395	395			32													1024		32		32																															
is396	396			32													1024		32		32																															
is397	397			32													1024		32		32																															
is398	398			32													1024		32		32																															
is399	399			32													1024		32		32																															
is400	400			32													1024		32		32																															
is401	401			32													1024		32		32																															
is402	402			32													1024		32		32																															
is403	403			32													1024		32		32																															
is404	404			32													1024		32		32																															
is405	405			32													1024		32		32																															
is406	406			32													1024		32		32																															
is407	407			32													1024		32		32																															
is408	408			32													1024		32		32																															
is409	409			32													1024		32		32																															
is410	410			32													1024		32		32																															
is411	411			32													1024		32		32																															
is412	412			32													1024		32		32																															
is413	413			32											170	100	1024		10	10	16	1000																	9980	4	1	diaolv	diaolv									
is414	414			32											101	128	1024		12		12																		201	1	2	diaolv	diaolv									
is415	415			32			1		32								1024														1																					
is416	416			32													1024				1				2		is200	is415			1								180	3	2	KillCount	KillCount									
is417	417			32													1024																																			
is418	418			32													1024				1				2	12	is200	is417											220	3	2	dianfenglevel	dianfenglevel									
is419	419		1	32															8		16																		89	4	1	Modstrxin	Modstrxin			1	1	Modstrxin	Modstrxin			
is420	420		1	32															8		32																		199	1	1	Modstrmoney	Modstrmoney			1	1	Modstrmoney	Modstrmoney			
is421	421		1	32															8		32																															
is422	422		1	32															8		32																															
is423	423		1	32															8		32																															
is424	424		1	32															8		32																															
is425	425			6													1024				2																			3		Modrwavailability	Modrwavailability									
is426	426			6													1024				4																		997	3	1											
is427	427			10											1987		1024		14		10																		9970	3		zhanghaobangding	zhanghaobangding									
is428	428			32													1024		32	32	32	32											1																			
is429	429		1														1024				9																		88	1	1	Modstrdianfu	Modstrdianfu									
is430	430		1														1024				9																		88	1	1	Modstrbingfu	Modstrbingfu									
is431	431		1														1024				9																		88	1	1	Modstrhuofu	Modstrhuofu									
is432	432		1														1024				9																		88	1	1	Modstrdufu	Modstrdufu									
is433	433		1														1024				9																		88	1	1	Modstrwulifu	Modstrwulifu									
is434	434		1														1024				9																		88	1	1	Modstrmofu	Modstrmofu									
is435	435		1	32															8		32																		88	1	1	Modstrjia1	Modstrjia1			1	1	Modstrjia1	Modstrjia1			
is436	436		1	32															8		32																		88	1	1	Modstrjia2	Modstrjia2			1	1	Modstrjia2	Modstrjia2			
is437	437		1	32															8		32																		88	1	1	Modstrjia17	Modstrjia17			1	1	Modstrjia17	Modstrjia17			
is438	438		1	32															8		32																		88	1	1	Modstrjia3	Modstrjia3			1	1	Modstrjia3	Modstrjia3			
is439	439		1	32															8		32																		88	1	1	Modstrjia4	Modstrjia4			1	1	Modstrjia4	Modstrjia4			
is440	440		1	32															8		32																		88	1	1	Modstrjia18	Modstrjia18			1	1	Modstrjia18	Modstrjia18			
is441	441		1	32															8		32																		88	1	1	Modstrjia5	Modstrjia5			1	1	Modstrjia5	Modstrjia5			
is442	442		1	32															8		32																		88	1	1	Modstrjia6	Modstrjia6			1	1	Modstrjia6	Modstrjia6			
is443	443		1	32															8		32																		88	1	1	Modstrjia14	Modstrjia14			1	1	Modstrjia14	Modstrjia14			
is444	444		1	32															8		32																		88	1	1	Modstrjia9	Modstrjia9			1	1	Modstrjia9	Modstrjia9			
is445	445		1	32															8		32																		88	1	1	Modstrjia10	Modstrjia10			1	1	Modstrjia10	Modstrjia10			
is446	446		1	32															8		32																		88	1	1	Modstrjia13	Modstrjia13			1	1	Modstrjia13	Modstrjia13			
is447	447		1	32															8		32																		88	1	1	Modstrjia11	Modstrjia11			1	1	Modstrjia11	Modstrjia11			
is448	448		1	32															8		32																		88	1	1	Modstrjia12	Modstrjia12			1	1	Modstrjia12	Modstrjia12			
is449	449		1	32															8		32																		88	1	1	Modstrjia15	Modstrjia15			1	1	Modstrjia15	Modstrjia15			
is450	450		1	32															8		32																		88	1	1	Modstrjia7	Modstrjia7			1	1	Modstrjia7	Modstrjia7			
is451	451		1	32															8		32																		88	1	1	Modstrjia8	Modstrjia8			1	1	Modstrjia8	Modstrjia8			
is452	452		1	32															8		32																		88	1	1	Modstrjia16	Modstrjia16			1	1	Modstrjia16	Modstrjia16			
is453	453		1	32			1	1	32										14		32		16																2	1	1	Modstramalf	Modstramalf									
is454	454		1	32			1	1	32								1024		14		32		16																2	1	1	Modstramasdq	Modstramasdq									
is455	455		1	32			1	1	32										14		32		16																2	1	1	Modstramaxsj	Modstramaxsj									
is456	456		1	32			1	1	32								1024		14		32		16																2	1	1	Modstrnecdb	Modstrnecdb									
is457	457		1	32			1	1	32								1024		14		32		16																2	1	1	Modstrnecgm	Modstrnecgm									
is458	458		1	32			1	1	32										14		32		16																2	1	1	Modstrnecba	Modstrnecba									
is459	459		1	32			1	1	32								1024		14		32		16																2	1	1	Modstrpalbh	Modstrpalbh									
is460	460		1	32			1	1	32								1024		14		32		16																2	1	1	Modstrpaltt	Modstrpaltt									
is461	461		1	32			1	1	32										14		32		16																2	1	1	Modstrpalzh	Modstrpalzh									
is462	462		1	32			1	1	32										14		32		16																2	1	1	Modstrsorbiz	Modstrsorbiz									
is463	463		1	32			1	1	32										14		32		16																2	1	1	Modstrsorls	Modstrsorls									
is464	464		1	30			1	1	32								1024		14		32		16																2	1	1	Modstrsorys	Modstrsorys									
is465	465		1	32			1	1	32								1024		14		32		16																2	1	1	Modstrbardu	Modstrbardu									
is466	466		1	30			1	1	32					3	401	256	1024		30		32		16																2	1	1	Modstrbarwc	Modstrbarwc									
is467	467		1	32			1	1	32										14		32		16																2	1	1	Modstrbarmo	Modstrbarmo									
is468	468		1	32			1	1	32								1024		14		32		16																2	1	1	Modstrasnfb	Modstrasnfb									
is469	469		1	30			1	1	32					3	401	256	1024		30		32		16																2	1	1	Modstrasndw	Modstrasndw									
is470	470		1	32			1	1	32										14		32		16																2	1	1	Modstrasnmo	Modstrasnmo									
is471	471		1	32			1	1	32								1024		14		32		16																2	1	1	Modstrdrubf	Modstrdrubf									
is472	472		1	32			1	1	32								1024		14		32		16																2	1	1	Modstrdruht	Modstrdruht									
is473	473		1	32			1	1	32										14		32		16																2	1	1	Modstrdruzb	Modstrdruzb									
is474	474		1														1024				3																		220	3		Modstrtaigu	Modstrtaigu	Modstrtaigu		1	1	Modstrtaigu	Modstrtaigu			
is475	475		1	32			1	1	16										8		16																		199	1	1	Modstrzhengyi	Modstrzhengyi			1	1	Modstrzhengyi	Modstrzhengyi			
is476	476			6													1024				10																			3	2	wupinsm	wupinsm									
is477	477		1	11													1024		14		2																															
is478	478		1	11													1024		14		2																															
is479	479		1	11													1024		14		4																															
is480	480		1	11													1024		14		7																			3	1	zuoqifumo	zuoqifumo									
is481	481		1	11													1024		14		7	7																		3	1	zuoqizhongcheng	zuoqizhongcheng									
is482	482		1	11													1024		14		7	7																				zhengyifumo	zhengyifumo									
is483	483		1	3													1024				3																		220	3		Modstrchuanqi	Modstrchuanqi	Modstrchuanqi		1	1	Modstrchuanqi	Modstrchuanqi			
is484	484		1	11													1024		14		7	7																		3	1	Zuoqistar	Zuoqistar									
is485	485			8													1024																																			
is486	486		1	32											32093	204	1024		6	10	32	10			2		is417	is331											58	8	1	ModitemdamColdsk	ModitemdamColdsk	increaseswithplaylevelDF								
is487	487		1	32											32093	204	1024		6	10	32	10			2		is417	is329											58	8	1	ModitemdamFiresk	ModitemdamFiresk	increaseswithplaylevelDF								
is488	488		1	32											32093	204	1024		6	10	32	10			2		is417	is330											58	8	1	ModitemdamLtngsk	ModitemdamLtngsk	increaseswithplaylevelDF								
is489	489		1	32											32093	204	1024		6	10	32	10			2		is417	is332											58	8	1	ModitemdamPoissk	ModitemdamPoissk	increaseswithplaylevelDF								
is490	490		1	32											32093	204	1024		6	10	32	10			2		is417	is357											58	8	1	ModitemdamMagsk	ModitemdamMagsk	increaseswithplaylevelDF								
is491	491		1	32											32093	204	1024		6	10	32	10			2		is417	is419											58	8	1	Modstrxin	Modstrxin	increaseswithplaylevelDF								
is492	492			32													1024				8																		220	3		Modstr_immune_phy_pierce	Modstr_immune_phy_pierce		8	3		Modstr_immune_ALL_pierce	Modstr_immune_ALL_pierce			
is493	493			32													1024				8																		220	3		Modstr_immune_mag_pierce	Modstr_immune_mag_pierce		8	3		Modstr_immune_ALL_pierce	Modstr_immune_ALL_pierce			
is494	494			32													1024				8																		220	3		Modstr_Immune_fire_pierce	Modstr_Immune_fire_pierce		8	3		Modstr_immune_ALL_pierce	Modstr_immune_ALL_pierce			
is495	495			32													1024				8																		220	3		Modstr_immune_ltng_pierce	Modstr_immune_ltng_pierce		8	3		Modstr_immune_ALL_pierce	Modstr_immune_ALL_pierce			
is496	496			32													1024				8																		220	3		Modstr_immune_cold_pierce	Modstr_immune_cold_pierce		8	3		Modstr_immune_ALL_pierce	Modstr_immune_ALL_pierce			
is497	497			32													1024				8																		220	3		Modstr_immune_pois_pierce	Modstr_immune_pois_pierce		8	3		Modstr_immune_ALL_pierce	Modstr_immune_ALL_pierce			
